02/08/2018 08:19 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2018 8:19
02/08/2018 08:59 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/08/2018 8:59
02/08/2018 09:26 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 02/08/2018 9:26
02/08/2018 09:28 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 9:28
02/08/2018 09:36 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 9:36
02/08/2018 10:00 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 02/08/2018 10:00
02/08/2018 10:48 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2018 10:48
02/08/2018 11:01 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/08/2018 11:01
02/08/2018 12:20 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 12:20
02/08/2018 12:55 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2018 12:55
02/08/2018 13:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2018 13:06
02/08/2018 13:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2018 13:16
02/08/2018 13:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 13:19
02/08/2018 13:23 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2018 13:23
02/08/2018 13:27 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2018 13:27
02/08/2018 13:31 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2018 13:31
02/08/2018 14:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 14:21
02/08/2018 14:29 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2018 14:29
