02/02/2016 13:48 - DOUGLAS | USUARIO = 11530 | CI = 14743 | STATUS = 7 | DATA = 02/02/2016 13:48 | MOTIVO_CANCELAMENTO = 
02/02/2016 13:48 - DOUGLAS | USUARIO = 11530 | CI = 14743 | STATUS = 3 | DATA = 02/02/2016 13:48 | MOTIVO_CANCELAMENTO = 
02/02/2016 13:48 - DOUGLAS | USUARIO = 11530 | CI = 14756 | STATUS = 3 | DATA = 02/02/2016 13:48 | MOTIVO_CANCELAMENTO = 
02/02/2016 14:38 - JG | USUARIO = 10849 | CI = 14737 | STATUS = 3 | DATA = 02/02/2016 14:38 | MOTIVO_CANCELAMENTO = ok
02/02/2016 14:38 - JG | USUARIO = 10849 | CI = 14748 | STATUS = 3 | DATA = 02/02/2016 14:38 | MOTIVO_CANCELAMENTO = ok
02/02/2016 14:39 - JG | USUARIO = 10849 | CI = 14758 | STATUS = 7 | DATA = 02/02/2016 14:39 | MOTIVO_CANCELAMENTO = ok
02/02/2016 14:39 - JG | USUARIO = 10849 | CI = 14758 | STATUS = 3 | DATA = 02/02/2016 14:39 | MOTIVO_CANCELAMENTO = ok
02/02/2016 16:32 - LUIDE | USUARIO = 10836 | CI = 14761 | STATUS = 7 | DATA = 02/02/2016 16:32 | MOTIVO_CANCELAMENTO = 
02/02/2016 16:32 - LUIDE | USUARIO = 10836 | CI = 14761 | STATUS = 3 | DATA = 02/02/2016 16:32 | MOTIVO_CANCELAMENTO = 
03/02/2016 09:10 - VALDINEI | USUARIO = 11172 | CI = 14721 | STATUS = 5 | DATA = 03/02/2016 9:10 | MOTIVO_CANCELAMENTO = Mudança nos valores
03/02/2016 09:43 - ZEZE | USUARIO = 10931 | CI = 14763 | STATUS = 7 | DATA = 03/02/2016 9:43 | MOTIVO_CANCELAMENTO = 
03/02/2016 09:43 - ZEZE | USUARIO = 10931 | CI = 14763 | STATUS = 3 | DATA = 03/02/2016 9:43 | MOTIVO_CANCELAMENTO = 
03/02/2016 09:43 - ZEZE | USUARIO = 10931 | CI = 14764 | STATUS = 7 | DATA = 03/02/2016 9:43 | MOTIVO_CANCELAMENTO = 
03/02/2016 09:44 - ZEZE | USUARIO = 10931 | CI = 14766 | STATUS = 7 | DATA = 03/02/2016 9:44 | MOTIVO_CANCELAMENTO = 
03/02/2016 09:44 - ZEZE | USUARIO = 10931 | CI = 14766 | STATUS = 3 | DATA = 03/02/2016 9:44 | MOTIVO_CANCELAMENTO = 
03/02/2016 10:46 - AREIAS | USUARIO = 10997 | CI = 14767 | STATUS = 7 | DATA = 03/02/2016 10:46 | MOTIVO_CANCELAMENTO = 
03/02/2016 10:51 - DOUGLAS | USUARIO = 11530 | CI = 14764 | STATUS = 3 | DATA = 03/02/2016 10:51 | MOTIVO_CANCELAMENTO = 
03/02/2016 12:50 - ERIC | USUARIO = 11080 | CI = 14736 | STATUS = 5 | DATA = 03/02/2016 12:50 | MOTIVO_CANCELAMENTO = Não será necessário a aquisição dos tubos de RPVC.
03/02/2016 13:21 - AREIAS | USUARIO = 10997 | CI = 14771 | STATUS = 7 | DATA = 03/02/2016 13:21 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:33 - JT | USUARIO = 10823 | CI = 14762 | STATUS = 3 | DATA = 03/02/2016 13:33 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:33 - JT | USUARIO = 10823 | CI = 14765 | STATUS = 7 | DATA = 03/02/2016 13:33 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:33 - JT | USUARIO = 10823 | CI = 14765 | STATUS = 3 | DATA = 03/02/2016 13:33 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:34 - JT | USUARIO = 10823 | CI = 14771 | STATUS = 3 | DATA = 03/02/2016 13:34 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:36 - JT | USUARIO = 10823 | CI = 14744 | STATUS = 3 | DATA = 03/02/2016 13:36 | MOTIVO_CANCELAMENTO = 
03/02/2016 13:50 - FERNANDO | USUARIO = 10842 | CI = 14764 | STATUS = 3 | DATA = 03/02/2016 13:50 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14770 | STATUS = 7 | DATA = 03/02/2016 15:10 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14770 | STATUS = 3 | DATA = 03/02/2016 15:10 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14769 | STATUS = 7 | DATA = 03/02/2016 15:10 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:10 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14769 | STATUS = 3 | DATA = 03/02/2016 15:10 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14753 | STATUS = 7 | DATA = 03/02/2016 15:11 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:11 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14753 | STATUS = 3 | DATA = 03/02/2016 15:11 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:35 - ZEZE | USUARIO = 10931 | CI = 14773 | STATUS = 7 | DATA = 03/02/2016 15:35 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:36 - ZEZE | USUARIO = 10931 | CI = 14774 | STATUS = 7 | DATA = 03/02/2016 15:36 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:36 - ZEZE | USUARIO = 10931 | CI = 14774 | STATUS = 3 | DATA = 03/02/2016 15:36 | MOTIVO_CANCELAMENTO = 
03/02/2016 15:42 - FERNANDO | USUARIO = 10842 | CI = 14773 | STATUS = 3 | DATA = 03/02/2016 15:42 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:08 - AREIAS | USUARIO = 10997 | CI = 14778 | STATUS = 7 | DATA = 04/02/2016 9:08 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:08 - AREIAS | USUARIO = 10997 | CI = 14779 | STATUS = 7 | DATA = 04/02/2016 9:08 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:09 - AREIAS | USUARIO = 10997 | CI = 14782 | STATUS = 7 | DATA = 04/02/2016 9:09 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:25 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14786 | STATUS = 3 | DATA = 04/02/2016 9:25 | MOTIVO_CANCELAMENTO = Processo de levantamento de informações, nesta etapa não há despesas para Cia por este motivo não tem contrato de prestação de serviços.
04/02/2016 09:25 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14776 | STATUS = 7 | DATA = 04/02/2016 9:25 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:25 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14776 | STATUS = 3 | DATA = 04/02/2016 9:25 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:27 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14780 | STATUS = 7 | DATA = 04/02/2016 9:27 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”  
04/02/2016 09:27 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14780 | STATUS = 3 | DATA = 04/02/2016 9:27 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”  
04/02/2016 09:28 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14781 | STATUS = 7 | DATA = 04/02/2016 9:28 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”  
04/02/2016 09:28 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14781 | STATUS = 3 | DATA = 04/02/2016 9:28 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”  
04/02/2016 09:35 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14789 | STATUS = 3 | DATA = 04/02/2016 9:35 | MOTIVO_CANCELAMENTO = 
04/02/2016 09:52 - DORACI | USUARIO = 10886 | CI = 14790 | STATUS = 7 | DATA = 04/02/2016 9:52 | MOTIVO_CANCELAMENTO = 
04/02/2016 10:29 - JT | USUARIO = 10823 | CI = 14775 | STATUS = 7 | DATA = 04/02/2016 10:29 | MOTIVO_CANCELAMENTO = 
04/02/2016 10:29 - JT | USUARIO = 10823 | CI = 14775 | STATUS = 3 | DATA = 04/02/2016 10:29 | MOTIVO_CANCELAMENTO = 
04/02/2016 10:30 - JT | USUARIO = 10823 | CI = 14777 | STATUS = 7 | DATA = 04/02/2016 10:30 | MOTIVO_CANCELAMENTO = 
04/02/2016 10:30 - JT | USUARIO = 10823 | CI = 14777 | STATUS = 3 | DATA = 04/02/2016 10:30 | MOTIVO_CANCELAMENTO = 
04/02/2016 10:53 - ZEZE | USUARIO = 10931 | CI = 14788 | STATUS = 3 | DATA = 04/02/2016 10:53 | MOTIVO_CANCELAMENTO = 
04/02/2016 11:01 - SYLVIO | USUARIO = 10914 | CI = 14790 | STATUS = 3 | DATA = 04/02/2016 11:01 | MOTIVO_CANCELAMENTO = 
04/02/2016 11:02 - SYLVIO | USUARIO = 10914 | CI = 14792 | STATUS = 3 | DATA = 04/02/2016 11:02 | MOTIVO_CANCELAMENTO = 
04/02/2016 11:02 - SYLVIO | USUARIO = 10914 | CI = 14773 | STATUS = 3 | DATA = 04/02/2016 11:02 | MOTIVO_CANCELAMENTO = 
04/02/2016 11:43 - DOUGLAS | USUARIO = 11530 | CI = 14792 | STATUS = 3 | DATA = 04/02/2016 11:43 | MOTIVO_CANCELAMENTO = 
04/02/2016 13:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14784 | STATUS = 7 | DATA = 04/02/2016 13:42 | MOTIVO_CANCELAMENTO = 
04/02/2016 13:42 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14784 | STATUS = 3 | DATA = 04/02/2016 13:42 | MOTIVO_CANCELAMENTO = 
04/02/2016 13:45 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14783 | STATUS = 7 | DATA = 04/02/2016 13:45 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
04/02/2016 13:47 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14785 | STATUS = 7 | DATA = 04/02/2016 13:47 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
04/02/2016 14:10 - ACIR | USUARIO = 10839 | CI = 14767 | STATUS = 3 | DATA = 04/02/2016 14:10 | MOTIVO_CANCELAMENTO = 
04/02/2016 14:10 - ACIR | USUARIO = 10839 | CI = 14778 | STATUS = 3 | DATA = 04/02/2016 14:10 | MOTIVO_CANCELAMENTO = 
04/02/2016 14:12 - ACIR | USUARIO = 10839 | CI = 14794 | STATUS = 3 | DATA = 04/02/2016 14:12 | MOTIVO_CANCELAMENTO = 
04/02/2016 14:12 - ACIR | USUARIO = 10839 | CI = 14795 | STATUS = 3 | DATA = 04/02/2016 14:12 | MOTIVO_CANCELAMENTO = 
04/02/2016 15:06 - ALEXZG | USUARIO = 10928 | CI = 14799 | STATUS = 5 | DATA = 04/02/2016 15:06 | MOTIVO_CANCELAMENTO = AS FÉRIAS DO COLABORADOR AMARILDO KEVELUKI ESTA NO DIA ERRADO.
04/02/2016 15:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14800 | STATUS = 7 | DATA = 04/02/2016 15:17 | MOTIVO_CANCELAMENTO = 
04/02/2016 15:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14800 | STATUS = 3 | DATA = 04/02/2016 15:17 | MOTIVO_CANCELAMENTO = 
04/02/2016 15:41 - HEITOR | USUARIO = 10996 | CI = 14801 | STATUS = 3 | DATA = 04/02/2016 15:41 | MOTIVO_CANCELAMENTO = 
04/02/2016 15:41 - HEITOR | USUARIO = 10996 | CI = 14802 | STATUS = 3 | DATA = 04/02/2016 15:41 | MOTIVO_CANCELAMENTO = 
05/02/2016 07:48 - AREIAS | USUARIO = 10997 | CI = 14787 | STATUS = 7 | DATA = 05/02/2016 7:48 | MOTIVO_CANCELAMENTO = 
05/02/2016 07:48 - AREIAS | USUARIO = 10997 | CI = 14791 | STATUS = 7 | DATA = 05/02/2016 7:48 | MOTIVO_CANCELAMENTO = 
05/02/2016 08:01 - FERNANDO | USUARIO = 10842 | CI = 14791 | STATUS = 3 | DATA = 05/02/2016 8:01 | MOTIVO_CANCELAMENTO = 
05/02/2016 08:01 - FERNANDO | USUARIO = 10842 | CI = 14787 | STATUS = 3 | DATA = 05/02/2016 8:01 | MOTIVO_CANCELAMENTO = 
05/02/2016 08:02 - FERNANDO | USUARIO = 10842 | CI = 14785 | STATUS = 3 | DATA = 05/02/2016 8:02 | MOTIVO_CANCELAMENTO = 
05/02/2016 08:02 - FERNANDO | USUARIO = 10842 | CI = 14783 | STATUS = 3 | DATA = 05/02/2016 8:02 | MOTIVO_CANCELAMENTO = 
05/02/2016 09:30 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14805 | STATUS = 7 | DATA = 05/02/2016 9:30 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
05/02/2016 09:30 - ROBSONMANFRIM | USUARIO = 11234 | CI = 14805 | STATUS = 3 | DATA = 05/02/2016 9:30 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
05/02/2016 13:19 - BRUNOFAZOLO | USUARIO = 11372 | CI = 14808 | STATUS = 3 | DATA = 05/02/2016 13:19 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:21 - CAMARA | USUARIO = 10841 | CI = 14779 | STATUS = 3 | DATA = 08/02/2016 8:21 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:56 - ACIR | USUARIO = 10839 | CI = 14811 | STATUS = 7 | DATA = 08/02/2016 8:56 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:56 - ACIR | USUARIO = 10839 | CI = 14811 | STATUS = 3 | DATA = 08/02/2016 8:56 | MOTIVO_CANCELAMENTO = 
08/02/2016 08:56 - ACIR | USUARIO = 10839 | CI = 14804 | STATUS = 3 | DATA = 08/02/2016 8:56 | MOTIVO_CANCELAMENTO = 
