10/06/2015 17:14 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.01.01.040
10/06/2015 17:14 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.02.01.007
10/06/2015 17:14 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.01.001
10/06/2015 17:14 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.02.001
10/06/2015 17:14 - ALEXANDRE | COD_FUNCAO = 1997 | CD_CCUSTO = 3.04.02.002
10/06/2015 17:30 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.002
10/06/2015 17:30 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.01.010
10/06/2015 17:30 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.015
10/06/2015 17:30 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.02.020
10/06/2015 17:30 - HEITOR | COD_FUNCAO = 2031 | CD_CCUSTO = 3.01.03.008
