02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:05 - RONALDOGOMES | USUARIOS_ID = 11530 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:53 - HEITOR | USUARIOS_ID = 10984 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:54 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
02/09/2015 16:57 - HEITOR | USUARIOS_ID = 11086 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
24/09/2015 11:18 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
24/09/2015 11:18 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
24/09/2015 11:18 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
24/09/2015 11:18 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:39 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:39 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:39 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:43 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:43 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:43 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/09/2015 10:43 - RONALDOGOMES | USUARIOS_ID = 11504 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
