04/05/2015 13:53 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 04/05/2015 13:53
04/05/2015 14:05 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/05/2015 14:05
04/05/2015 14:05 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/05/2015 14:05
04/05/2015 14:05 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 04/05/2015 14:05
04/05/2015 14:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/05/2015 14:34
04/05/2015 14:52 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/05/2015 14:52
04/05/2015 14:59 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/05/2015 14:59
04/05/2015 15:05 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 04/05/2015 15:05
04/05/2015 15:29 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2015 15:29
04/05/2015 15:39 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 04/05/2015 15:39
04/05/2015 15:44 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/05/2015 15:44
04/05/2015 15:45 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 15:45
04/05/2015 15:45 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 15:45
04/05/2015 16:00 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2015 16:00
04/05/2015 16:01 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2015 16:01
04/05/2015 16:03 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2015 16:03
04/05/2015 16:07 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/05/2015 16:07
04/05/2015 16:13 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/05/2015 16:13
04/05/2015 16:23 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/05/2015 16:23
04/05/2015 16:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/05/2015 16:33
04/05/2015 16:50 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/05/2015 16:50
04/05/2015 16:51 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 04/05/2015 16:51
04/05/2015 16:54 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 04/05/2015 16:54
04/05/2015 17:28 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 04/05/2015 17:28
04/05/2015 19:37 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 04/05/2015 19:37
05/05/2015 07:00 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/05/2015 7:00
05/05/2015 07:00 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/05/2015 7:00
05/05/2015 07:02 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 7:02
05/05/2015 07:06 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 05/05/2015 7:06
05/05/2015 07:07 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/05/2015 7:07
05/05/2015 07:08 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 05/05/2015 7:08
05/05/2015 07:09 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/05/2015 7:09
05/05/2015 07:10 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/05/2015 7:10
05/05/2015 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 05/05/2015 7:19
05/05/2015 07:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 7:20
05/05/2015 07:24 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 05/05/2015 7:24
05/05/2015 07:26 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/05/2015 7:26
05/05/2015 07:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 7:37
05/05/2015 07:51 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 05/05/2015 7:51
05/05/2015 07:55 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 05/05/2015 7:55
05/05/2015 07:58 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/05/2015 7:58
05/05/2015 08:07 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/05/2015 8:07
05/05/2015 08:07 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/05/2015 8:07
05/05/2015 08:09 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 8:09
05/05/2015 08:16 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 8:16
05/05/2015 08:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 8:18
05/05/2015 08:20 - EDUARDO | ID_USUARIO = 10844 | DATA_LOGIN = 05/05/2015 8:20
05/05/2015 08:43 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 05/05/2015 8:43
05/05/2015 08:45 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/05/2015 8:45
05/05/2015 08:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/05/2015 8:52
05/05/2015 09:08 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 05/05/2015 9:08
05/05/2015 09:12 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 05/05/2015 9:12
05/05/2015 09:17 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 05/05/2015 9:17
05/05/2015 09:21 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 05/05/2015 9:21
05/05/2015 09:22 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 05/05/2015 9:22
05/05/2015 09:24 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 05/05/2015 9:24
05/05/2015 09:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 9:24
05/05/2015 09:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/05/2015 9:25
05/05/2015 09:28 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 05/05/2015 9:28
05/05/2015 09:55 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/05/2015 9:55
05/05/2015 09:59 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 9:59
05/05/2015 10:03 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 10:03
05/05/2015 10:11 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 05/05/2015 10:11
05/05/2015 10:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 10:22
05/05/2015 10:25 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/05/2015 10:25
05/05/2015 10:35 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/05/2015 10:35
05/05/2015 10:36 - CABRAL | ID_USUARIO = 10975 | DATA_LOGIN = 05/05/2015 10:36
05/05/2015 10:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 10:37
05/05/2015 11:08 - LUCIA | ID_USUARIO = 10915 | DATA_LOGIN = 05/05/2015 11:08
05/05/2015 11:08 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/05/2015 11:08
05/05/2015 11:21 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/05/2015 11:21
05/05/2015 11:21 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 05/05/2015 11:21
05/05/2015 12:34 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 05/05/2015 12:34
05/05/2015 12:56 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/05/2015 12:56
05/05/2015 13:05 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 05/05/2015 13:05
05/05/2015 13:27 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 05/05/2015 13:27
05/05/2015 13:36 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/05/2015 13:36
05/05/2015 13:45 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/05/2015 13:45
05/05/2015 13:48 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/05/2015 13:48
05/05/2015 13:56 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/05/2015 13:56
05/05/2015 14:01 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 05/05/2015 14:01
05/05/2015 14:02 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/05/2015 14:02
05/05/2015 14:05 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/05/2015 14:05
05/05/2015 14:13 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/05/2015 14:13
