04/10/2016 13:32 - ZEZE | USUARIO = 10931 | CI = 17675 | STATUS = 7 | DATA = 04/10/2016 13:32 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:32 - ZEZE | USUARIO = 10931 | CI = 17676 | STATUS = 7 | DATA = 04/10/2016 13:32 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:32 - ZEZE | USUARIO = 10931 | CI = 17676 | STATUS = 3 | DATA = 04/10/2016 13:32 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17677 | STATUS = 7 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17677 | STATUS = 3 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17679 | STATUS = 7 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17688 | STATUS = 7 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17688 | STATUS = 3 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17689 | STATUS = 7 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17689 | STATUS = 3 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:33 - ZEZE | USUARIO = 10931 | CI = 17690 | STATUS = 7 | DATA = 04/10/2016 13:33 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17690 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17686 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17685 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17679 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17675 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:35 - DOUGLAS | USUARIO = 11530 | CI = 17662 | STATUS = 3 | DATA = 04/10/2016 13:35 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
04/10/2016 13:47 - CHRISTIANO | USUARIO = 11570 | CI = 17675 | STATUS = 3 | DATA = 04/10/2016 13:47 | MOTIVO_CANCELAMENTO = 
04/10/2016 13:48 - CHRISTIANO | USUARIO = 11570 | CI = 17679 | STATUS = 3 | DATA = 04/10/2016 13:48 | MOTIVO_CANCELAMENTO = 
