05/01/2016 13:27 - HEITOR | FINALIDADE = 222 | USUARIO = 11172
12/01/2016 14:39 - RONALDOGOMES | FINALIDADE = 21 | USUARIO = 10852
15/01/2016 09:12 - HEITOR | FINALIDADE = 222 | USUARIO = 10983
15/01/2016 09:14 - HEITOR | FINALIDADE = 21 | USUARIO = 10983
21/01/2016 11:41 - HEITOR | FINALIDADE = 261 | USUARIO = 10823
22/01/2016 08:20 - HEITOR | FINALIDADE = 261 | USUARIO = 11086
22/01/2016 08:20 - HEITOR | FINALIDADE = 261 | USUARIO = 11086
22/01/2016 08:20 - HEITOR | FINALIDADE = 261 | USUARIO = 11316
29/01/2016 15:11 - HEITOR | FINALIDADE = 222 | USUARIO = 10826
