01/02/2016 09:03 - NORIVAL | ID =  | CI = 14738 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 151.20
01/02/2016 09:03 - NORIVAL | ID =  | CI = 14738 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 13.00
02/02/2016 07:50 - LUCIANOHENRIQUE | ID =  | CI = 14750 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
02/02/2016 07:50 - LUCIANOHENRIQUE | ID =  | CI = 14750 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 42.00
02/02/2016 08:49 - NORIVAL | ID =  | CI = 14752 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 43.11
02/02/2016 08:49 - NORIVAL | ID =  | CI = 14752 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 6.90
02/02/2016 12:28 - MATHEUSUZELOTTO | ID =  | CI = 14758 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 118.34
04/02/2016 07:53 - NORIVAL | ID =  | CI = 14775 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 85.20
04/02/2016 08:28 - NORIVAL | ID =  | CI = 14777 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
04/02/2016 08:41 - FRANCISCO | ID =  | CI = 14778 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
04/02/2016 08:44 - FRANCISCO | ID =  | CI = 14779 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.17
04/02/2016 08:55 - FRANCISCO | ID =  | CI = 14782 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 115.96
04/02/2016 09:20 - FRANCISCO | ID =  | CI = 14787 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 119.00
04/02/2016 09:20 - FRANCISCO | ID =  | CI = 14787 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 171.57
04/02/2016 09:48 - FRANCISCO | ID =  | CI = 14791 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 40.00
05/02/2016 13:12 - LUCIANOHENRIQUE | ID =  | CI = 14808 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 30.00
06/02/2016 07:56 - NORIVAL | ID =  | CI = 14809 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 79.20
06/02/2016 07:56 - NORIVAL | ID =  | CI = 14809 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 89.80
06/02/2016 10:02 - NORIVAL | ID =  | CI = 14810 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 69.00
06/02/2016 12:07 - PARDAL | ID =  | CI = 14811 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 51.10
08/02/2016 09:47 - ANGELO | ID =  | CI = 14812 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
08/02/2016 09:47 - ANGELO | ID =  | CI = 14812 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/02/2016 09:50 - ANGELO | ID =  | CI = 14813 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
08/02/2016 09:50 - ANGELO | ID =  | CI = 14813 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/02/2016 09:53 - ANGELO | ID =  | CI = 14814 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 47.00
08/02/2016 09:53 - ANGELO | ID =  | CI = 14814 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/02/2016 09:53 - ANGELO | ID =  | CI = 14814 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
08/02/2016 09:53 - ANGELO | ID =  | CI = 14814 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
08/02/2016 09:56 - ANGELO | ID =  | CI = 14815 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 23.00
08/02/2016 09:56 - ANGELO | ID =  | CI = 14815 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/02/2016 09:56 - ANGELO | ID =  | CI = 14815 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
08/02/2016 10:53 - JENS | ID =  | CI = 14816 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 135.60
08/02/2016 12:11 - SIDINEI | ID =  | CI = 14817 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 102.02
08/02/2016 12:11 - SIDINEI | ID =  | CI = 14817 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 151.89
08/02/2016 12:11 - SIDINEI | ID =  | CI = 14817 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
09/02/2016 15:58 - NORIVAL | ID =  | CI = 14824 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 18.40
09/02/2016 15:58 - NORIVAL | ID =  | CI = 14824 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
10/02/2016 15:33 - FRANCISCO | ID =  | CI = 14846 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
11/02/2016 07:35 - NORIVAL | ID =  | CI = 14848 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 180.00
12/02/2016 15:05 - TIAGOLIMA | ID =  | CI = 14876 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 9.50
12/02/2016 15:05 - TIAGOLIMA | ID =  | CI = 14876 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 6.00
13/02/2016 10:34 - NORIVAL | ID =  | CI = 14880 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
13/02/2016 10:38 - NORIVAL | ID =  | CI = 14881 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
13/02/2016 10:38 - NORIVAL | ID =  | CI = 14881 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 130.00
15/02/2016 08:56 - MATHEUSUZELOTTO | ID =  | CI = 14886 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
15/02/2016 08:56 - MATHEUSUZELOTTO | ID =  | CI = 14886 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
15/02/2016 08:56 - MATHEUSUZELOTTO | ID =  | CI = 14886 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
15/02/2016 08:56 - MATHEUSUZELOTTO | ID =  | CI = 14886 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/02/2016 08:56 - MATHEUSUZELOTTO | ID =  | CI = 14886 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
15/02/2016 10:45 - ANGELO | ID =  | CI = 14890 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 46.00
15/02/2016 10:45 - ANGELO | ID =  | CI = 14890 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
