03/10/2017 13:59 - ZEZE | USUARIO = 10931 | CI = 22164 | STATUS = 7 | DATA = 03/10/2017 13:59 | MOTIVO_CANCELAMENTO = 
03/10/2017 13:59 - ZEZE | USUARIO = 10931 | CI = 22165 | STATUS = 7 | DATA = 03/10/2017 13:59 | MOTIVO_CANCELAMENTO = 
03/10/2017 13:59 - ZEZE | USUARIO = 10931 | CI = 22166 | STATUS = 7 | DATA = 03/10/2017 13:59 | MOTIVO_CANCELAMENTO = 
03/10/2017 13:59 - ZEZE | USUARIO = 10931 | CI = 22166 | STATUS = 3 | DATA = 03/10/2017 13:59 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:14 - AREIAS | USUARIO = 10997 | CI = 22149 | STATUS = 7 | DATA = 03/10/2017 14:14 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:14 - AREIAS | USUARIO = 10997 | CI = 22151 | STATUS = 7 | DATA = 03/10/2017 14:14 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:14 - AREIAS | USUARIO = 10997 | CI = 22156 | STATUS = 7 | DATA = 03/10/2017 14:14 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:15 - AREIAS | USUARIO = 10997 | CI = 22158 | STATUS = 7 | DATA = 03/10/2017 14:15 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:29 - ZEZE | USUARIO = 10931 | CI = 22167 | STATUS = 7 | DATA = 03/10/2017 14:29 | MOTIVO_CANCELAMENTO = 
03/10/2017 14:29 - ZEZE | USUARIO = 10931 | CI = 22167 | STATUS = 3 | DATA = 03/10/2017 14:29 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:04 - CHRISTIANO | USUARIO = 11570 | CI = 22156 | STATUS = 3 | DATA = 03/10/2017 15:04 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:04 - DOUGLAS | USUARIO = 11530 | CI = 22161 | STATUS = 3 | DATA = 03/10/2017 15:04 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:04 - DOUGLAS | USUARIO = 11530 | CI = 22162 | STATUS = 3 | DATA = 03/10/2017 15:04 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:04 - DOUGLAS | USUARIO = 11530 | CI = 22164 | STATUS = 3 | DATA = 03/10/2017 15:04 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:05 - DOUGLAS | USUARIO = 11530 | CI = 22165 | STATUS = 3 | DATA = 03/10/2017 15:05 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:07 - CHRISTIANO | USUARIO = 11570 | CI = 22165 | STATUS = 3 | DATA = 03/10/2017 15:07 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:07 - CHRISTIANO | USUARIO = 11570 | CI = 22164 | STATUS = 3 | DATA = 03/10/2017 15:07 | MOTIVO_CANCELAMENTO = 
03/10/2017 15:07 - CHRISTIANO | USUARIO = 11570 | CI = 22161 | STATUS = 3 | DATA = 03/10/2017 15:07 | MOTIVO_CANCELAMENTO = 
04/10/2017 07:27 - ZEZE | USUARIO = 10931 | CI = 22168 | STATUS = 7 | DATA = 04/10/2017 7:27 | MOTIVO_CANCELAMENTO = 
04/10/2017 07:27 - ZEZE | USUARIO = 10931 | CI = 22168 | STATUS = 3 | DATA = 04/10/2017 7:27 | MOTIVO_CANCELAMENTO = 
04/10/2017 07:56 - OSNY | USUARIO = 10826 | CI = 22169 | STATUS = 7 | DATA = 04/10/2017 7:56 | MOTIVO_CANCELAMENTO = 
04/10/2017 07:56 - OSNY | USUARIO = 10826 | CI = 22169 | STATUS = 3 | DATA = 04/10/2017 7:56 | MOTIVO_CANCELAMENTO = 
04/10/2017 08:15 - AREIAS | USUARIO = 10997 | CI = 22171 | STATUS = 7 | DATA = 04/10/2017 8:15 | MOTIVO_CANCELAMENTO = 
04/10/2017 08:15 - AREIAS | USUARIO = 10997 | CI = 22171 | STATUS = 3 | DATA = 04/10/2017 8:15 | MOTIVO_CANCELAMENTO = 
04/10/2017 08:30 - LUIDE | USUARIO = 10836 | CI = 22170 | STATUS = 3 | DATA = 04/10/2017 8:30 | MOTIVO_CANCELAMENTO = 
04/10/2017 09:18 - JT | USUARIO = 10823 | CI = 22147 | STATUS = 7 | DATA = 04/10/2017 9:18 | MOTIVO_CANCELAMENTO = 
04/10/2017 09:18 - JT | USUARIO = 10823 | CI = 22149 | STATUS = 3 | DATA = 04/10/2017 9:18 | MOTIVO_CANCELAMENTO = 
04/10/2017 09:18 - JT | USUARIO = 10823 | CI = 22151 | STATUS = 3 | DATA = 04/10/2017 9:18 | MOTIVO_CANCELAMENTO = 
04/10/2017 09:18 - JT | USUARIO = 10823 | CI = 22158 | STATUS = 3 | DATA = 04/10/2017 9:18 | MOTIVO_CANCELAMENTO = 
04/10/2017 09:26 - DOUGLAS | USUARIO = 11530 | CI = 22147 | STATUS = 3 | DATA = 04/10/2017 9:26 | MOTIVO_CANCELAMENTO = 
04/10/2017 10:23 - OSNY | USUARIO = 10826 | CI = 22172 | STATUS = 7 | DATA = 04/10/2017 10:23 | MOTIVO_CANCELAMENTO = 
04/10/2017 10:27 - DOUGLAS | USUARIO = 11530 | CI = 22172 | STATUS = 3 | DATA = 04/10/2017 10:27 | MOTIVO_CANCELAMENTO = 
04/10/2017 11:36 - ZEZE | USUARIO = 10931 | CI = 22175 | STATUS = 3 | DATA = 04/10/2017 11:36 | MOTIVO_CANCELAMENTO = 
04/10/2017 13:19 - ZEZE | USUARIO = 10931 | CI = 22177 | STATUS = 7 | DATA = 04/10/2017 13:19 | MOTIVO_CANCELAMENTO = 
04/10/2017 13:20 - ZEZE | USUARIO = 10931 | CI = 22178 | STATUS = 7 | DATA = 04/10/2017 13:20 | MOTIVO_CANCELAMENTO = 
04/10/2017 13:20 - ZEZE | USUARIO = 10931 | CI = 22178 | STATUS = 3 | DATA = 04/10/2017 13:20 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:25 - ZEZE | USUARIO = 10931 | CI = 22179 | STATUS = 3 | DATA = 04/10/2017 14:25 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:41 - TADEUMACHADO | USUARIO = 11594 | CI = 22121 | STATUS = 7 | DATA = 04/10/2017 14:41 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:41 - TADEUMACHADO | USUARIO = 11594 | CI = 22121 | STATUS = 3 | DATA = 04/10/2017 14:41 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:41 - TADEUMACHADO | USUARIO = 11594 | CI = 22122 | STATUS = 7 | DATA = 04/10/2017 14:41 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:41 - TADEUMACHADO | USUARIO = 11594 | CI = 22122 | STATUS = 3 | DATA = 04/10/2017 14:41 | MOTIVO_CANCELAMENTO = 
04/10/2017 14:42 - TADEUMACHADO | USUARIO = 11594 | CI = 22120 | STATUS = 7 | DATA = 04/10/2017 14:42 | MOTIVO_CANCELAMENTO = Referente a consulta do REFIS.
04/10/2017 14:42 - TADEUMACHADO | USUARIO = 11594 | CI = 22120 | STATUS = 3 | DATA = 04/10/2017 14:42 | MOTIVO_CANCELAMENTO = Referente a consulta do REFIS.
04/10/2017 15:00 - JT | USUARIO = 10823 | CI = 22173 | STATUS = 7 | DATA = 04/10/2017 15:00 | MOTIVO_CANCELAMENTO = 
04/10/2017 15:00 - JT | USUARIO = 10823 | CI = 22173 | STATUS = 3 | DATA = 04/10/2017 15:00 | MOTIVO_CANCELAMENTO = 
04/10/2017 15:05 - TADEUMACHADO | USUARIO = 11594 | CI = 22163 | STATUS = 7 | DATA = 04/10/2017 15:05 | MOTIVO_CANCELAMENTO = Valor apurado foi maior neste período devido a venda de Etanol e Bagaço na ordem de ~34 MM.
04/10/2017 15:32 - ROBERTA | USUARIO = 10935 | CI = 22174 | STATUS = 3 | DATA = 04/10/2017 15:32 | MOTIVO_CANCELAMENTO = 
04/10/2017 15:34 - DOUGLAS | USUARIO = 11530 | CI = 22163 | STATUS = 3 | DATA = 04/10/2017 15:34 | MOTIVO_CANCELAMENTO = 
04/10/2017 15:34 - DOUGLAS | USUARIO = 11530 | CI = 22177 | STATUS = 3 | DATA = 04/10/2017 15:34 | MOTIVO_CANCELAMENTO = 
