03/05/2016 16:02 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15743 | STATUS = 3 | DATA = 03/05/2016 16:02 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15742 | STATUS = 3 | DATA = 03/05/2016 16:03 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15741 | STATUS = 3 | DATA = 03/05/2016 16:03 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:03 - ROBSONMANFRIM | USUARIO = 11234 | CI = 15740 | STATUS = 3 | DATA = 03/05/2016 16:03 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:45 - SYLVIO | USUARIO = 10914 | CI = 15711 | STATUS = 3 | DATA = 03/05/2016 16:45 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:46 - SYLVIO | USUARIO = 10914 | CI = 15712 | STATUS = 3 | DATA = 03/05/2016 16:46 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:46 - SYLVIO | USUARIO = 10914 | CI = 15734 | STATUS = 3 | DATA = 03/05/2016 16:46 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:46 - SYLVIO | USUARIO = 10914 | CI = 15736 | STATUS = 3 | DATA = 03/05/2016 16:46 | MOTIVO_CANCELAMENTO = 
03/05/2016 16:46 - SYLVIO | USUARIO = 10914 | CI = 15696 | STATUS = 3 | DATA = 03/05/2016 16:46 | MOTIVO_CANCELAMENTO = 
03/05/2016 17:37 - JT | USUARIO = 10823 | CI = 15723 | STATUS = 7 | DATA = 03/05/2016 17:37 | MOTIVO_CANCELAMENTO = 
03/05/2016 17:38 - JT | USUARIO = 10823 | CI = 15732 | STATUS = 7 | DATA = 03/05/2016 17:38 | MOTIVO_CANCELAMENTO = 
03/05/2016 17:38 - JT | USUARIO = 10823 | CI = 15746 | STATUS = 7 | DATA = 03/05/2016 17:38 | MOTIVO_CANCELAMENTO = 
03/05/2016 18:31 - SYLVIO | USUARIO = 10914 | CI = 15723 | STATUS = 3 | DATA = 03/05/2016 18:31 | MOTIVO_CANCELAMENTO = 
03/05/2016 18:31 - SYLVIO | USUARIO = 10914 | CI = 15746 | STATUS = 3 | DATA = 03/05/2016 18:31 | MOTIVO_CANCELAMENTO = 
03/05/2016 22:42 - AREIAS | USUARIO = 10997 | CI = 15731 | STATUS = 7 | DATA = 03/05/2016 22:42 | MOTIVO_CANCELAMENTO = 
03/05/2016 22:42 - AREIAS | USUARIO = 10997 | CI = 15744 | STATUS = 7 | DATA = 03/05/2016 22:42 | MOTIVO_CANCELAMENTO = 
03/05/2016 22:42 - AREIAS | USUARIO = 10997 | CI = 15745 | STATUS = 7 | DATA = 03/05/2016 22:42 | MOTIVO_CANCELAMENTO = 
04/05/2016 07:51 - SANTANA | USUARIO = 10904 | CI = 15743 | STATUS = 5 | DATA = 04/05/2016 7:51 | MOTIVO_CANCELAMENTO = NÃO FOI NECESSÁRIO. TRABALHO CONCLUÍDO ANTES DO PREVISTO.
04/05/2016 08:56 - ZEZE | USUARIO = 10931 | CI = 15737 | STATUS = 7 | DATA = 04/05/2016 8:56 | MOTIVO_CANCELAMENTO = 
04/05/2016 08:57 - ZEZE | USUARIO = 10931 | CI = 15739 | STATUS = 7 | DATA = 04/05/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/05/2016 08:57 - ZEZE | USUARIO = 10931 | CI = 15739 | STATUS = 3 | DATA = 04/05/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/05/2016 08:57 - ZEZE | USUARIO = 10931 | CI = 15749 | STATUS = 7 | DATA = 04/05/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/05/2016 08:57 - ZEZE | USUARIO = 10931 | CI = 15749 | STATUS = 3 | DATA = 04/05/2016 8:57 | MOTIVO_CANCELAMENTO = 
04/05/2016 09:28 - DORACI | USUARIO = 10886 | CI = 15750 | STATUS = 7 | DATA = 04/05/2016 9:28 | MOTIVO_CANCELAMENTO = 
04/05/2016 09:55 - DORACI | USUARIO = 10886 | CI = 15753 | STATUS = 7 | DATA = 04/05/2016 9:55 | MOTIVO_CANCELAMENTO = 
04/05/2016 09:55 - DORACI | USUARIO = 10886 | CI = 15753 | STATUS = 3 | DATA = 04/05/2016 9:55 | MOTIVO_CANCELAMENTO = 
04/05/2016 10:13 - TADEUMACHADO | USUARIO = 11594 | CI = 15747 | STATUS = 3 | DATA = 04/05/2016 10:13 | MOTIVO_CANCELAMENTO = Aprovado.
