01/12/2016 16:08 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/12/2016 16:08
01/12/2016 16:09 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 01/12/2016 16:09
01/12/2016 16:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/12/2016 16:10
01/12/2016 16:19 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/12/2016 16:19
01/12/2016 16:38 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/12/2016 16:38
01/12/2016 16:42 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2016 16:42
01/12/2016 16:49 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2016 16:49
01/12/2016 16:56 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/12/2016 16:56
01/12/2016 17:35 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/12/2016 17:35
01/12/2016 17:47 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/12/2016 17:47
02/12/2016 02:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/12/2016 2:07
02/12/2016 07:10 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 02/12/2016 7:10
02/12/2016 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 7:13
02/12/2016 07:13 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/12/2016 7:13
02/12/2016 07:18 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/12/2016 7:18
02/12/2016 07:24 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/12/2016 7:24
02/12/2016 07:24 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/12/2016 7:24
02/12/2016 07:26 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/12/2016 7:26
02/12/2016 07:40 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/12/2016 7:40
02/12/2016 07:45 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 02/12/2016 7:45
02/12/2016 07:47 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/12/2016 7:47
02/12/2016 07:47 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 02/12/2016 7:47
02/12/2016 07:55 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 7:55
02/12/2016 07:57 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/12/2016 7:57
