04/07/2018 12:04 - ANITA | USUARIO = 11002 | CI = 24824 | STATUS = 3 | DATA = 04/07/2018 12:04 | MOTIVO_CANCELAMENTO = 
04/07/2018 13:30 - LUIDE | USUARIO = 10836 | CI = 24829 | STATUS = 5 | DATA = 04/07/2018 13:30 | MOTIVO_CANCELAMENTO = valor incorreto
04/07/2018 13:30 - LUIDE | USUARIO = 10836 | CI = 24830 | STATUS = 5 | DATA = 04/07/2018 13:30 | MOTIVO_CANCELAMENTO = valor incorreto
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24828 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24831 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 08:12 - ROBERTO | USUARIO = 10845 | CI = 24832 | STATUS = 3 | DATA = 05/07/2018 8:12 | MOTIVO_CANCELAMENTO = 
05/07/2018 13:18 - PARDAL | USUARIO = 10903 | CI = 24842 | STATUS = 3 | DATA = 05/07/2018 13:18 | MOTIVO_CANCELAMENTO = SERVIÇO DE MANUTENÇÃO NA PLOTTER D SETOR DE PROJETOS.
05/07/2018 13:43 - THIAGO | USUARIO = 10892 | CI = 24837 | STATUS = 3 | DATA = 05/07/2018 13:43 | MOTIVO_CANCELAMENTO = 
06/07/2018 07:58 - TADEUMACHADO | USUARIO = 11594 | CI = 24845 | STATUS = 7 | DATA = 06/07/2018 7:58 | MOTIVO_CANCELAMENTO = 
06/07/2018 07:58 - TADEUMACHADO | USUARIO = 11594 | CI = 24845 | STATUS = 3 | DATA = 06/07/2018 7:58 | MOTIVO_CANCELAMENTO = 
06/07/2018 09:17 - GUSTAVOGIRO | USUARIO = 6963 | CI = 24848 | STATUS = 7 | DATA = 06/07/2018 9:17 | MOTIVO_CANCELAMENTO = 
06/07/2018 09:17 - GUSTAVOGIRO | USUARIO = 6963 | CI = 24848 | STATUS = 3 | DATA = 06/07/2018 9:17 | MOTIVO_CANCELAMENTO = 
06/07/2018 10:55 - HEBERTLUCIO | USUARIO = 11635 | CI = 24844 | STATUS = 7 | DATA = 06/07/2018 10:55 | MOTIVO_CANCELAMENTO = 
06/07/2018 10:55 - HEBERTLUCIO | USUARIO = 11635 | CI = 24844 | STATUS = 3 | DATA = 06/07/2018 10:55 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24836 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24849 | STATUS = 7 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24849 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24850 | STATUS = 7 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24850 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24851 | STATUS = 7 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24851 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24853 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24854 | STATUS = 7 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:31 - ZEZE | USUARIO = 10931 | CI = 24854 | STATUS = 3 | DATA = 06/07/2018 13:31 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:46 - JT | USUARIO = 10823 | CI = 24847 | STATUS = 7 | DATA = 06/07/2018 13:46 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:46 - JT | USUARIO = 10823 | CI = 24847 | STATUS = 3 | DATA = 06/07/2018 13:46 | MOTIVO_CANCELAMENTO = 
06/07/2018 13:46 - JT | USUARIO = 10823 | CI = 24852 | STATUS = 7 | DATA = 06/07/2018 13:46 | MOTIVO_CANCELAMENTO = 
06/07/2018 14:00 - MARTA | USUARIO = 10847 | CI = 24855 | STATUS = 3 | DATA = 06/07/2018 14:00 | MOTIVO_CANCELAMENTO = aprovado.
06/07/2018 18:02 - JT | USUARIO = 10823 | CI = 24856 | STATUS = 7 | DATA = 06/07/2018 18:02 | MOTIVO_CANCELAMENTO = 
06/07/2018 18:02 - JT | USUARIO = 10823 | CI = 24856 | STATUS = 3 | DATA = 06/07/2018 18:02 | MOTIVO_CANCELAMENTO = 
09/07/2018 09:10 - HEBERTLUCIO | USUARIO = 11635 | CI = 24852 | STATUS = 3 | DATA = 09/07/2018 9:10 | MOTIVO_CANCELAMENTO = 
09/07/2018 09:10 - HEBERTLUCIO | USUARIO = 11635 | CI = 24857 | STATUS = 3 | DATA = 09/07/2018 9:10 | MOTIVO_CANCELAMENTO = 
