04/09/2017 11:08 - ZEZE | USUARIO = 10931 | CI = 21849 | STATUS = 7 | DATA = 04/09/2017 11:08 | MOTIVO_CANCELAMENTO = 
04/09/2017 11:08 - ZEZE | USUARIO = 10931 | CI = 21849 | STATUS = 3 | DATA = 04/09/2017 11:08 | MOTIVO_CANCELAMENTO = 
04/09/2017 11:33 - ROBERTA | USUARIO = 10935 | CI = 21848 | STATUS = 7 | DATA = 04/09/2017 11:33 | MOTIVO_CANCELAMENTO = 
04/09/2017 11:33 - ROBERTA | USUARIO = 10935 | CI = 21850 | STATUS = 7 | DATA = 04/09/2017 11:33 | MOTIVO_CANCELAMENTO = 
04/09/2017 13:51 - DORACI | USUARIO = 10886 | CI = 21691 | STATUS = 3 | DATA = 04/09/2017 13:51 | MOTIVO_CANCELAMENTO = 
04/09/2017 13:51 - DORACI | USUARIO = 10886 | CI = 21848 | STATUS = 3 | DATA = 04/09/2017 13:51 | MOTIVO_CANCELAMENTO = 
04/09/2017 13:51 - DORACI | USUARIO = 10886 | CI = 21850 | STATUS = 3 | DATA = 04/09/2017 13:51 | MOTIVO_CANCELAMENTO = 
04/09/2017 14:14 - ZEZE | USUARIO = 10931 | CI = 21856 | STATUS = 7 | DATA = 04/09/2017 14:14 | MOTIVO_CANCELAMENTO = 
04/09/2017 14:37 - DOUGLAS | USUARIO = 11530 | CI = 21820 | STATUS = 3 | DATA = 04/09/2017 14:37 | MOTIVO_CANCELAMENTO = 
04/09/2017 14:37 - DOUGLAS | USUARIO = 11530 | CI = 21828 | STATUS = 3 | DATA = 04/09/2017 14:37 | MOTIVO_CANCELAMENTO = 
04/09/2017 14:39 - DOUGLAS | USUARIO = 11530 | CI = 21856 | STATUS = 3 | DATA = 04/09/2017 14:39 | MOTIVO_CANCELAMENTO = 
04/09/2017 16:02 - ZEZE | USUARIO = 10931 | CI = 21859 | STATUS = 7 | DATA = 04/09/2017 16:02 | MOTIVO_CANCELAMENTO = 
04/09/2017 16:02 - ZEZE | USUARIO = 10931 | CI = 21860 | STATUS = 7 | DATA = 04/09/2017 16:02 | MOTIVO_CANCELAMENTO = 
04/09/2017 16:02 - ZEZE | USUARIO = 10931 | CI = 21860 | STATUS = 3 | DATA = 04/09/2017 16:02 | MOTIVO_CANCELAMENTO = 
04/09/2017 16:03 - ZEZE | USUARIO = 10931 | CI = 21861 | STATUS = 7 | DATA = 04/09/2017 16:03 | MOTIVO_CANCELAMENTO = 
