01/05/2017 00:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2017 0:49
01/05/2017 12:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2017 12:36
01/05/2017 13:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2017 13:56
01/05/2017 23:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2017 23:40
02/05/2017 03:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2017 3:27
02/05/2017 07:13 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/05/2017 7:13
02/05/2017 07:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/05/2017 7:17
02/05/2017 07:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2017 7:18
02/05/2017 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2017 7:21
02/05/2017 07:24 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/05/2017 7:24
02/05/2017 07:26 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2017 7:26
02/05/2017 07:27 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/05/2017 7:27
02/05/2017 07:36 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2017 7:36
02/05/2017 07:43 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/05/2017 7:43
02/05/2017 07:55 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/05/2017 7:55
02/05/2017 07:59 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/05/2017 7:59
02/05/2017 08:03 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2017 8:03
02/05/2017 08:10 - GUSTAVOMELGES | ID_USUARIO = 6955 | DATA_LOGIN = 02/05/2017 8:10
02/05/2017 08:10 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/05/2017 8:10
02/05/2017 08:12 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 02/05/2017 8:12
02/05/2017 08:14 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 02/05/2017 8:14
02/05/2017 08:23 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/05/2017 8:23
02/05/2017 08:27 - OSVALDOFLORES | ID_USUARIO = 11167 | DATA_LOGIN = 02/05/2017 8:27
02/05/2017 08:27 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2017 8:27
02/05/2017 08:31 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2017 8:31
02/05/2017 08:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2017 8:38
02/05/2017 08:44 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/05/2017 8:44
02/05/2017 08:46 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/05/2017 8:46
02/05/2017 08:48 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/05/2017 8:48
02/05/2017 08:50 - WILSONVICTORIA | ID_USUARIO = 6958 | DATA_LOGIN = 02/05/2017 8:50
02/05/2017 08:56 - OSVALDOFLORES | ID_USUARIO = 11167 | DATA_LOGIN = 02/05/2017 8:56
02/05/2017 08:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2017 8:59
02/05/2017 09:15 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/05/2017 9:15
02/05/2017 09:16 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/05/2017 9:16
02/05/2017 09:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2017 9:17
