10/11/2016 08:42 - MARIANACAMPOS | ID = 14355 | CI = 18171 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.50
10/11/2016 14:06 - MICHELAAUGUSTO | ID =  | CI = 18177 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 50.18
10/11/2016 14:06 - MICHELAAUGUSTO | ID =  | CI = 18177 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
11/11/2016 11:38 - FRANCISCO | ID =  | CI = 18186 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.65
11/11/2016 11:42 - FRANCISCO | ID =  | CI = 18187 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 7.00
11/11/2016 15:52 - NORIVAL | ID =  | CI = 18198 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
11/11/2016 15:52 - NORIVAL | ID =  | CI = 18198 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 51.75
15/11/2016 22:25 - MATHEUSUZELOTTO | ID =  | CI = 18205 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 92.83
15/11/2016 22:25 - MATHEUSUZELOTTO | ID =  | CI = 18205 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.07
15/11/2016 22:25 - MATHEUSUZELOTTO | ID =  | CI = 18205 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
15/11/2016 22:26 - MATHEUSUZELOTTO | ID =  | CI = 18206 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 100.00
16/11/2016 07:35 - ROBERTA | ID =  | CI = 18207 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 141.55
16/11/2016 07:45 - LUZMARINA | ID =  | CI = 18209 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.40
17/11/2016 13:07 - NORIVAL | ID =  | CI = 18234 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 41.10
17/11/2016 13:07 - NORIVAL | ID =  | CI = 18234 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.00
17/11/2016 15:53 - FRANCISCO | ID =  | CI = 18238 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
17/11/2016 15:53 - FRANCISCO | ID =  | CI = 18238 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 144.69
21/11/2016 09:09 - LARISSALIMA | ID =  | CI = 18258 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 140.00
21/11/2016 09:17 - LARISSALIMA | ID =  | CI = 18259 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 71.49
21/11/2016 09:17 - LARISSALIMA | ID =  | CI = 18259 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.50
21/11/2016 09:46 - MARTA | ID =  | CI = 18260 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.40
21/11/2016 09:46 - MARTA | ID =  | CI = 18260 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
21/11/2016 10:03 - FRANCISCO | ID =  | CI = 18261 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 155.00
21/11/2016 10:03 - FRANCISCO | ID =  | CI = 18261 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.35
21/11/2016 10:12 - CAIOAUGUSTO | ID =  | CI = 18263 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 162.72
21/11/2016 10:12 - CAIOAUGUSTO | ID =  | CI = 18263 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.90
21/11/2016 10:12 - CAIOAUGUSTO | ID =  | CI = 18263 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1.60
21/11/2016 10:17 - CAIOAUGUSTO | ID = 14475 | CI = 18263 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 162.72
21/11/2016 10:17 - CAIOAUGUSTO | ID = 14476 | CI = 18263 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.90
21/11/2016 10:17 - CAIOAUGUSTO | ID = 14477 | CI = 18263 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 160.00
21/11/2016 16:02 - SANDRA | ID =  | CI = 18272 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 303.80
21/11/2016 16:02 - SANDRA | ID =  | CI = 18272 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 1.25
22/11/2016 13:20 - LUISMOREIRA | ID =  | CI = 18283 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
22/11/2016 13:23 - LUISMOREIRA | ID =  | CI = 18284 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 87.94
22/11/2016 13:29 - LUISMOREIRA | ID =  | CI = 18285 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 57.60
22/11/2016 15:06 - GUILHERMESCAGNOLATTO | ID =  | CI = 18287 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 144.03
22/11/2016 15:06 - GUILHERMESCAGNOLATTO | ID =  | CI = 18287 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 201.67
22/11/2016 16:38 - MARTA | ID =  | CI = 18290 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
22/11/2016 16:38 - MARTA | ID =  | CI = 18290 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
22/11/2016 16:38 - MARTA | ID =  | CI = 18290 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
22/11/2016 16:38 - MARTA | ID =  | CI = 18290 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
22/11/2016 19:34 - MATHEUSUZELOTTO | ID =  | CI = 18294 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
22/11/2016 19:35 - MATHEUSUZELOTTO | ID =  | CI = 18295 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 152.02
22/11/2016 19:35 - MATHEUSUZELOTTO | ID =  | CI = 18295 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 39.70
22/11/2016 19:35 - MATHEUSUZELOTTO | ID =  | CI = 18295 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
24/11/2016 12:45 - NORIVAL | ID =  | CI = 18325 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 27.60
24/11/2016 14:02 - LUISMOREIRA | ID =  | CI = 18328 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.00
24/11/2016 14:16 - MARTA | ID =  | CI = 18329 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 180.00
24/11/2016 14:16 - MARTA | ID =  | CI = 18329 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
