01/03/2016 13:25 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2016 13:25
01/03/2016 13:41 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2016 13:41
01/03/2016 13:43 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/03/2016 13:43
01/03/2016 13:44 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2016 13:44
01/03/2016 14:05 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2016 14:05
01/03/2016 14:09 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2016 14:09
01/03/2016 14:16 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/03/2016 14:16
01/03/2016 14:16 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 14:16
01/03/2016 14:54 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2016 14:54
01/03/2016 15:42 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2016 15:42
01/03/2016 15:46 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 01/03/2016 15:46
01/03/2016 15:51 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 15:51
01/03/2016 15:58 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/03/2016 15:58
01/03/2016 16:07 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/03/2016 16:07
01/03/2016 16:23 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 16:23
01/03/2016 16:26 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2016 16:26
01/03/2016 16:32 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 16:32
01/03/2016 16:39 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/03/2016 16:39
01/03/2016 16:41 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 16:41
01/03/2016 18:12 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/03/2016 18:12
01/03/2016 23:20 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/03/2016 23:20
02/03/2016 00:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 0:46
02/03/2016 00:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 0:46
02/03/2016 00:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 0:46
02/03/2016 06:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/03/2016 6:16
02/03/2016 07:07 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 02/03/2016 7:07
02/03/2016 07:15 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2016 7:15
02/03/2016 07:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 7:18
02/03/2016 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2016 7:19
02/03/2016 07:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2016 7:19
02/03/2016 07:21 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/03/2016 7:21
02/03/2016 07:26 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2016 7:26
02/03/2016 07:31 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2016 7:31
02/03/2016 07:35 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/03/2016 7:35
02/03/2016 07:39 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2016 7:39
02/03/2016 07:40 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/03/2016 7:40
02/03/2016 07:55 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 02/03/2016 7:55
02/03/2016 07:58 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 02/03/2016 7:58
02/03/2016 08:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2016 8:17
02/03/2016 08:29 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2016 8:29
02/03/2016 08:30 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2016 8:30
02/03/2016 09:08 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/03/2016 9:08
02/03/2016 09:13 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/03/2016 9:13
02/03/2016 09:18 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/03/2016 9:18
02/03/2016 09:19 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2016 9:19
02/03/2016 09:31 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2016 9:31
02/03/2016 09:50 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2016 9:50
02/03/2016 09:56 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2016 9:56
02/03/2016 09:57 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 02/03/2016 9:57
02/03/2016 09:59 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/03/2016 9:59
02/03/2016 10:03 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2016 10:03
02/03/2016 10:07 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2016 10:07
02/03/2016 10:37 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 02/03/2016 10:37
02/03/2016 10:51 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/03/2016 10:51
02/03/2016 11:06 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2016 11:06
02/03/2016 11:07 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2016 11:07
02/03/2016 11:07 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2016 11:07
