05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13433 | STATUS = 7 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:03 - ZEZE | USUARIO = 10931 | CI = 13433 | STATUS = 3 | DATA = 05/10/2015 10:03 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:11 - ZEZE | USUARIO = 10931 | CI = 13434 | STATUS = 7 | DATA = 05/10/2015 10:11 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:11 - ZEZE | USUARIO = 10931 | CI = 13435 | STATUS = 7 | DATA = 05/10/2015 10:11 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:11 - ZEZE | USUARIO = 10931 | CI = 13435 | STATUS = 3 | DATA = 05/10/2015 10:11 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:36 - FERNANDO | USUARIO = 10842 | CI = 13434 | STATUS = 3 | DATA = 05/10/2015 10:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:36 - FERNANDO | USUARIO = 10842 | CI = 13420 | STATUS = 3 | DATA = 05/10/2015 10:36 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:37 - EDUARDO | USUARIO = 10844 | CI = 13434 | STATUS = 3 | DATA = 05/10/2015 10:37 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:37 - EDUARDO | USUARIO = 10844 | CI = 13420 | STATUS = 3 | DATA = 05/10/2015 10:37 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:38 - EDUARDO | USUARIO = 10844 | CI = 13419 | STATUS = 3 | DATA = 05/10/2015 10:38 | MOTIVO_CANCELAMENTO = 
05/10/2015 10:38 - EDUARDO | USUARIO = 10844 | CI = 13418 | STATUS = 3 | DATA = 05/10/2015 10:38 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:18 - TOM | USUARIO = 10831 | CI = 13427 | STATUS = 3 | DATA = 05/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
05/10/2015 11:18 - TOM | USUARIO = 10831 | CI = 13432 | STATUS = 3 | DATA = 05/10/2015 11:18 | MOTIVO_CANCELAMENTO = 
