05/05/2015 09:55 - ZEZE | USUARIO = 10931 | CI = 11734 | STATUS = 7 | DATA = 05/05/2015 9:55 | MOTIVO_CANCELAMENTO = 
05/05/2015 09:55 - ZEZE | USUARIO = 10931 | CI = 11734 | STATUS = 3 | DATA = 05/05/2015 9:55 | MOTIVO_CANCELAMENTO = 
05/05/2015 13:29 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11740 | STATUS = 7 | DATA = 05/05/2015 13:29 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
05/05/2015 13:30 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11742 | STATUS = 7 | DATA = 05/05/2015 13:30 | MOTIVO_CANCELAMENTO = 
05/05/2015 13:30 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11742 | STATUS = 3 | DATA = 05/05/2015 13:30 | MOTIVO_CANCELAMENTO = 
05/05/2015 13:36 - ZEZE | USUARIO = 10931 | CI = 11741 | STATUS = 7 | DATA = 05/05/2015 13:36 | MOTIVO_CANCELAMENTO = 
05/05/2015 13:36 - ZEZE | USUARIO = 10931 | CI = 11738 | STATUS = 3 | DATA = 05/05/2015 13:36 | MOTIVO_CANCELAMENTO = 
05/05/2015 13:46 - AREIAS | USUARIO = 10997 | CI = 11739 | STATUS = 7 | DATA = 05/05/2015 13:46 | MOTIVO_CANCELAMENTO = 
05/05/2015 14:23 - SYLVIO | USUARIO = 10914 | CI = 11741 | STATUS = 3 | DATA = 05/05/2015 14:23 | MOTIVO_CANCELAMENTO = 
05/05/2015 14:24 - SYLVIO | USUARIO = 10914 | CI = 11740 | STATUS = 3 | DATA = 05/05/2015 14:24 | MOTIVO_CANCELAMENTO = 
05/05/2015 14:34 - DORACI | USUARIO = 10886 | CI = 11746 | STATUS = 7 | DATA = 05/05/2015 14:34 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:07 - FERNANDO | USUARIO = 10842 | CI = 11746 | STATUS = 3 | DATA = 05/05/2015 16:07 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:07 - FERNANDO | USUARIO = 10842 | CI = 11741 | STATUS = 3 | DATA = 05/05/2015 16:07 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:08 - FERNANDO | USUARIO = 10842 | CI = 11740 | STATUS = 3 | DATA = 05/05/2015 16:08 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:09 - FERNANDO | USUARIO = 10842 | CI = 11739 | STATUS = 3 | DATA = 05/05/2015 16:09 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:18 - EDUARDO | USUARIO = 10844 | CI = 11746 | STATUS = 3 | DATA = 05/05/2015 16:18 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:19 - EDUARDO | USUARIO = 10844 | CI = 11741 | STATUS = 3 | DATA = 05/05/2015 16:19 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:36 - TOM | USUARIO = 10831 | CI = 11743 | STATUS = 7 | DATA = 05/05/2015 16:36 | MOTIVO_CANCELAMENTO = 
05/05/2015 16:36 - TOM | USUARIO = 10831 | CI = 11743 | STATUS = 3 | DATA = 05/05/2015 16:36 | MOTIVO_CANCELAMENTO = 
05/05/2015 17:59 - HEITOR | USUARIO = 10996 | CI = 11736 | STATUS = 3 | DATA = 05/05/2015 17:59 | MOTIVO_CANCELAMENTO = 
05/05/2015 17:59 - HEITOR | USUARIO = 10996 | CI = 11737 | STATUS = 3 | DATA = 05/05/2015 17:59 | MOTIVO_CANCELAMENTO = 
06/05/2015 08:17 - ZEZE | USUARIO = 10931 | CI = 11747 | STATUS = 7 | DATA = 06/05/2015 8:17 | MOTIVO_CANCELAMENTO = 
06/05/2015 08:17 - ZEZE | USUARIO = 10931 | CI = 11747 | STATUS = 3 | DATA = 06/05/2015 8:17 | MOTIVO_CANCELAMENTO = 
06/05/2015 08:17 - ZEZE | USUARIO = 10931 | CI = 11748 | STATUS = 7 | DATA = 06/05/2015 8:17 | MOTIVO_CANCELAMENTO = 
06/05/2015 08:58 - DORACI | USUARIO = 10886 | CI = 11750 | STATUS = 7 | DATA = 06/05/2015 8:58 | MOTIVO_CANCELAMENTO = 
06/05/2015 08:58 - DORACI | USUARIO = 10886 | CI = 11750 | STATUS = 3 | DATA = 06/05/2015 8:58 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:13 - AREIAS | USUARIO = 10997 | CI = 11754 | STATUS = 3 | DATA = 06/05/2015 11:13 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:32 - DORACI | USUARIO = 10886 | CI = 11756 | STATUS = 7 | DATA = 06/05/2015 11:32 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:32 - DORACI | USUARIO = 10886 | CI = 11757 | STATUS = 7 | DATA = 06/05/2015 11:32 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:39 - ROBERTO | USUARIO = 10845 | CI = 11756 | STATUS = 3 | DATA = 06/05/2015 11:39 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:40 - ROBERTO | USUARIO = 10845 | CI = 11748 | STATUS = 3 | DATA = 06/05/2015 11:40 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:40 - ROBERTO | USUARIO = 10845 | CI = 11757 | STATUS = 3 | DATA = 06/05/2015 11:40 | MOTIVO_CANCELAMENTO = 
06/05/2015 11:50 - TOM | USUARIO = 10831 | CI = 11753 | STATUS = 3 | DATA = 06/05/2015 11:50 | MOTIVO_CANCELAMENTO = 
06/05/2015 13:37 - ACIR | USUARIO = 10839 | CI = 11759 | STATUS = 3 | DATA = 06/05/2015 13:37 | MOTIVO_CANCELAMENTO = 
06/05/2015 13:38 - ACIR | USUARIO = 10839 | CI = 11758 | STATUS = 3 | DATA = 06/05/2015 13:38 | MOTIVO_CANCELAMENTO = 
06/05/2015 13:38 - MARCIO | USUARIO = 10850 | CI = 11759 | STATUS = 3 | DATA = 06/05/2015 13:38 | MOTIVO_CANCELAMENTO = De acordo.
06/05/2015 14:35 - JT | USUARIO = 10823 | CI = 11755 | STATUS = 3 | DATA = 06/05/2015 14:35 | MOTIVO_CANCELAMENTO = 
06/05/2015 15:54 - LUIDE | USUARIO = 10836 | CI = 11672 | STATUS = 3 | DATA = 06/05/2015 15:54 | MOTIVO_CANCELAMENTO = 
06/05/2015 15:54 - LUIDE | USUARIO = 10836 | CI = 11764 | STATUS = 3 | DATA = 06/05/2015 15:54 | MOTIVO_CANCELAMENTO = 
06/05/2015 16:42 - DORACI | USUARIO = 10886 | CI = 11766 | STATUS = 7 | DATA = 06/05/2015 16:42 | MOTIVO_CANCELAMENTO = 
06/05/2015 16:42 - DORACI | USUARIO = 10886 | CI = 11766 | STATUS = 3 | DATA = 06/05/2015 16:42 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:19 - AREIAS | USUARIO = 10997 | CI = 11762 | STATUS = 7 | DATA = 06/05/2015 17:19 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:19 - AREIAS | USUARIO = 10997 | CI = 11763 | STATUS = 7 | DATA = 06/05/2015 17:19 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:19 - AREIAS | USUARIO = 10997 | CI = 11765 | STATUS = 7 | DATA = 06/05/2015 17:19 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:33 - SYLVIO | USUARIO = 10914 | CI = 11757 | STATUS = 3 | DATA = 06/05/2015 17:33 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:34 - SYLVIO | USUARIO = 10914 | CI = 11756 | STATUS = 3 | DATA = 06/05/2015 17:34 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:34 - SYLVIO | USUARIO = 10914 | CI = 11748 | STATUS = 3 | DATA = 06/05/2015 17:34 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:34 - SYLVIO | USUARIO = 10914 | CI = 11762 | STATUS = 3 | DATA = 06/05/2015 17:34 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:34 - SYLVIO | USUARIO = 10914 | CI = 11763 | STATUS = 3 | DATA = 06/05/2015 17:34 | MOTIVO_CANCELAMENTO = 
06/05/2015 17:35 - SYLVIO | USUARIO = 10914 | CI = 11765 | STATUS = 3 | DATA = 06/05/2015 17:35 | MOTIVO_CANCELAMENTO = 
07/05/2015 07:55 - DORACI | USUARIO = 10886 | CI = 11767 | STATUS = 7 | DATA = 07/05/2015 7:55 | MOTIVO_CANCELAMENTO = 
07/05/2015 07:55 - DORACI | USUARIO = 10886 | CI = 11767 | STATUS = 3 | DATA = 07/05/2015 7:55 | MOTIVO_CANCELAMENTO = 
07/05/2015 07:55 - DORACI | USUARIO = 10886 | CI = 11768 | STATUS = 7 | DATA = 07/05/2015 7:55 | MOTIVO_CANCELAMENTO = 
07/05/2015 07:55 - DORACI | USUARIO = 10886 | CI = 11768 | STATUS = 3 | DATA = 07/05/2015 7:55 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:25 - ACIR | USUARIO = 10839 | CI = 11769 | STATUS = 3 | DATA = 07/05/2015 8:25 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:25 - ACIR | USUARIO = 10839 | CI = 11761 | STATUS = 3 | DATA = 07/05/2015 8:25 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:34 - ZEZE | USUARIO = 10931 | CI = 11770 | STATUS = 7 | DATA = 07/05/2015 8:34 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:34 - ZEZE | USUARIO = 10931 | CI = 11771 | STATUS = 7 | DATA = 07/05/2015 8:34 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:34 - ZEZE | USUARIO = 10931 | CI = 11772 | STATUS = 7 | DATA = 07/05/2015 8:34 | MOTIVO_CANCELAMENTO = 
07/05/2015 08:34 - ZEZE | USUARIO = 10931 | CI = 11772 | STATUS = 3 | DATA = 07/05/2015 8:34 | MOTIVO_CANCELAMENTO = 
07/05/2015 09:36 - ZEZE | USUARIO = 10931 | CI = 11773 | STATUS = 7 | DATA = 07/05/2015 9:36 | MOTIVO_CANCELAMENTO = 
07/05/2015 10:32 - TOM | USUARIO = 10831 | CI = 11777 | STATUS = 7 | DATA = 07/05/2015 10:32 | MOTIVO_CANCELAMENTO = 
07/05/2015 10:32 - TOM | USUARIO = 10831 | CI = 11777 | STATUS = 3 | DATA = 07/05/2015 10:32 | MOTIVO_CANCELAMENTO = 
07/05/2015 10:58 - MARTA | USUARIO = 10847 | CI = 11779 | STATUS = 3 | DATA = 07/05/2015 10:58 | MOTIVO_CANCELAMENTO = aprovado.
07/05/2015 13:12 - AREIAS | USUARIO = 10997 | CI = 11774 | STATUS = 7 | DATA = 07/05/2015 13:12 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:13 - AREIAS | USUARIO = 10997 | CI = 11775 | STATUS = 7 | DATA = 07/05/2015 13:13 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:13 - AREIAS | USUARIO = 10997 | CI = 11780 | STATUS = 7 | DATA = 07/05/2015 13:13 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:14 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11781 | STATUS = 3 | DATA = 07/05/2015 13:14 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11760 | STATUS = 7 | DATA = 07/05/2015 13:17 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:17 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11760 | STATUS = 3 | DATA = 07/05/2015 13:17 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:21 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11744 | STATUS = 7 | DATA = 07/05/2015 13:21 | MOTIVO_CANCELAMENTO = Nota Fiscal extraviada.


“Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/05/2015 13:21 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11744 | STATUS = 3 | DATA = 07/05/2015 13:21 | MOTIVO_CANCELAMENTO = Nota Fiscal extraviada.


“Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/05/2015 13:22 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11752 | STATUS = 7 | DATA = 07/05/2015 13:22 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:22 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11751 | STATUS = 7 | DATA = 07/05/2015 13:22 | MOTIVO_CANCELAMENTO = 
07/05/2015 13:27 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11749 | STATUS = 7 | DATA = 07/05/2015 13:27 | MOTIVO_CANCELAMENTO = 
07/05/2015 14:13 - HEITOR | USUARIO = 10996 | CI = 11776 | STATUS = 7 | DATA = 07/05/2015 14:13 | MOTIVO_CANCELAMENTO = Tivemos uma variação nos preços da DELL e HP e com isso, não conseguimos manter o valor original do projeto.
07/05/2015 14:35 - LUIDE | USUARIO = 10836 | CI = 11778 | STATUS = 3 | DATA = 07/05/2015 14:35 | MOTIVO_CANCELAMENTO = 
07/05/2015 14:59 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11745 | STATUS = 7 | DATA = 07/05/2015 14:59 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/05/2015 14:59 - ROBSONMANFRIM | USUARIO = 11234 | CI = 11745 | STATUS = 3 | DATA = 07/05/2015 14:59 | MOTIVO_CANCELAMENTO = “Imposto será compensado via PER / DCOMP, entrar em contato com o Dep. Tributário”
07/05/2015 15:59 - TOM | USUARIO = 10831 | CI = 11785 | STATUS = 7 | DATA = 07/05/2015 15:59 | MOTIVO_CANCELAMENTO = 
07/05/2015 15:59 - TOM | USUARIO = 10831 | CI = 11785 | STATUS = 3 | DATA = 07/05/2015 15:59 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:00 - TOM | USUARIO = 10831 | CI = 11784 | STATUS = 3 | DATA = 07/05/2015 16:00 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:13 - BRUNOFAZOLO | USUARIO = 11372 | CI = 11787 | STATUS = 7 | DATA = 07/05/2015 16:13 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:30 - SYLVIO | USUARIO = 10914 | CI = 11787 | STATUS = 3 | DATA = 07/05/2015 16:30 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:31 - SYLVIO | USUARIO = 10914 | CI = 11771 | STATUS = 3 | DATA = 07/05/2015 16:31 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:33 - SYLVIO | USUARIO = 10914 | CI = 11770 | STATUS = 3 | DATA = 07/05/2015 16:33 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:33 - SYLVIO | USUARIO = 10914 | CI = 11773 | STATUS = 3 | DATA = 07/05/2015 16:33 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:33 - SYLVIO | USUARIO = 10914 | CI = 11774 | STATUS = 3 | DATA = 07/05/2015 16:33 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:34 - SYLVIO | USUARIO = 10914 | CI = 11776 | STATUS = 4 | DATA = 07/05/2015 16:34 | MOTIVO_CANCELAMENTO = Comprar o que estava orçado.
07/05/2015 16:35 - SYLVIO | USUARIO = 10914 | CI = 11780 | STATUS = 3 | DATA = 07/05/2015 16:35 | MOTIVO_CANCELAMENTO = 
07/05/2015 16:35 - SYLVIO | USUARIO = 10914 | CI = 11783 | STATUS = 3 | DATA = 07/05/2015 16:35 | MOTIVO_CANCELAMENTO = 
