01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 08:00 - RONALDOGOMES | USUARIOS_ID = 10906 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/11/2017 15:12 - RONALDOGOMES | USUARIOS_ID = 10900 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/11/2017 16:28 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
