01/04/2015 13:29 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2015 13:29
01/04/2015 13:30 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 13:30
01/04/2015 13:33 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/04/2015 13:33
01/04/2015 13:41 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/04/2015 13:41
01/04/2015 14:39 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/04/2015 14:39
01/04/2015 14:45 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 14:45
01/04/2015 14:46 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2015 14:46
01/04/2015 14:53 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 14:53
01/04/2015 14:53 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2015 14:53
01/04/2015 15:18 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 01/04/2015 15:18
01/04/2015 15:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2015 15:27
01/04/2015 15:31 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2015 15:31
01/04/2015 15:49 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/04/2015 15:49
01/04/2015 16:07 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2015 16:07
01/04/2015 16:07 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2015 16:07
01/04/2015 16:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/04/2015 16:08
01/04/2015 16:17 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2015 16:17
01/04/2015 16:43 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/04/2015 16:43
01/04/2015 16:48 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2015 16:48
01/04/2015 16:58 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2015 16:58
01/04/2015 17:30 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 01/04/2015 17:30
01/04/2015 17:42 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/04/2015 17:42
01/04/2015 19:34 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/04/2015 19:34
02/04/2015 07:07 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/04/2015 7:07
02/04/2015 07:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 7:10
02/04/2015 07:12 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/04/2015 7:12
02/04/2015 07:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/04/2015 7:15
02/04/2015 07:23 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/04/2015 7:23
02/04/2015 07:29 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 02/04/2015 7:29
02/04/2015 07:44 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 02/04/2015 7:44
02/04/2015 08:07 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/04/2015 8:07
02/04/2015 08:08 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 02/04/2015 8:08
02/04/2015 08:22 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/04/2015 8:22
02/04/2015 08:25 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/04/2015 8:25
02/04/2015 08:26 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/04/2015 8:26
02/04/2015 08:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/04/2015 8:27
02/04/2015 08:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/04/2015 8:41
02/04/2015 08:46 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/04/2015 8:46
02/04/2015 08:46 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/04/2015 8:46
02/04/2015 08:47 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/04/2015 8:47
02/04/2015 09:01 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 9:01
02/04/2015 09:19 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/04/2015 9:19
02/04/2015 09:24 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/04/2015 9:24
02/04/2015 09:48 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/04/2015 9:48
02/04/2015 09:59 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/04/2015 9:59
02/04/2015 10:23 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/04/2015 10:23
02/04/2015 10:23 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/04/2015 10:23
02/04/2015 10:24 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/04/2015 10:24
02/04/2015 11:14 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/04/2015 11:14
02/04/2015 11:14 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/04/2015 11:14
02/04/2015 11:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/04/2015 11:17
