14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
14/05/2019 08:35 - RONALDOGOMES | USUARIOS_ID = 10863 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:37 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:37 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:37 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:37 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:37 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:38 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:38 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:38 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:38 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
20/05/2019 07:38 - RONALDOGOMES | USUARIOS_ID = 11392 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
