01/04/2017 00:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 0:09
01/04/2017 00:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 0:36
01/04/2017 02:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 2:33
01/04/2017 07:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 7:36
01/04/2017 08:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/04/2017 8:41
01/04/2017 08:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 8:46
01/04/2017 09:37 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/04/2017 9:37
01/04/2017 11:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 11:24
01/04/2017 11:32 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/04/2017 11:32
01/04/2017 12:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 12:06
01/04/2017 12:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 12:21
01/04/2017 12:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 12:46
01/04/2017 13:20 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 13:20
01/04/2017 13:21 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/04/2017 13:21
01/04/2017 13:21 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/04/2017 13:21
01/04/2017 13:21 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/04/2017 13:21
01/04/2017 13:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 13:38
01/04/2017 16:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2017 16:12
02/04/2017 02:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2017 2:55
02/04/2017 10:54 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/04/2017 10:54
03/04/2017 00:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2017 0:08
03/04/2017 07:09 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/04/2017 7:09
03/04/2017 07:11 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/04/2017 7:11
03/04/2017 07:12 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 03/04/2017 7:12
03/04/2017 07:14 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 03/04/2017 7:14
03/04/2017 07:20 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 7:20
03/04/2017 07:20 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 7:20
03/04/2017 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 7:21
03/04/2017 07:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/04/2017 7:31
03/04/2017 07:38 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/04/2017 7:38
03/04/2017 07:43 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/04/2017 7:43
03/04/2017 07:44 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/04/2017 7:44
03/04/2017 07:46 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/04/2017 7:46
03/04/2017 07:51 - THAISMAGALHAES | ID_USUARIO = 6937 | DATA_LOGIN = 03/04/2017 7:51
03/04/2017 07:52 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 03/04/2017 7:52
03/04/2017 07:53 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/04/2017 7:53
03/04/2017 07:56 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 03/04/2017 7:56
03/04/2017 08:06 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/04/2017 8:06
03/04/2017 08:09 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/04/2017 8:09
03/04/2017 08:16 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/04/2017 8:16
03/04/2017 08:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 8:17
03/04/2017 08:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/04/2017 8:23
03/04/2017 08:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2017 8:24
03/04/2017 08:32 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 8:32
03/04/2017 08:34 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/04/2017 8:34
03/04/2017 08:40 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/04/2017 8:40
03/04/2017 08:48 - AMADEUBOVI | ID_USUARIO = 6888 | DATA_LOGIN = 03/04/2017 8:48
03/04/2017 08:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/04/2017 8:51
03/04/2017 08:58 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 03/04/2017 8:58
03/04/2017 08:59 - THAISMAGALHAES | ID_USUARIO = 6937 | DATA_LOGIN = 03/04/2017 8:59
03/04/2017 09:02 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 03/04/2017 9:02
03/04/2017 09:07 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/04/2017 9:07
03/04/2017 09:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2017 9:11
03/04/2017 09:42 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/04/2017 9:42
03/04/2017 09:42 - PRISCILLASILVA | ID_USUARIO = 6929 | DATA_LOGIN = 03/04/2017 9:42
03/04/2017 09:46 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/04/2017 9:46
03/04/2017 09:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2017 9:46
03/04/2017 09:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/04/2017 9:48
03/04/2017 09:49 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/04/2017 9:49
03/04/2017 09:52 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/04/2017 9:52
03/04/2017 09:55 - PRISCILLASILVA | ID_USUARIO = 6929 | DATA_LOGIN = 03/04/2017 9:55
03/04/2017 09:56 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/04/2017 9:56
03/04/2017 10:00 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 03/04/2017 10:00
03/04/2017 10:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/04/2017 10:01
03/04/2017 10:11 - PRISCILLASILVA | ID_USUARIO = 6929 | DATA_LOGIN = 03/04/2017 10:11
03/04/2017 10:12 - PRISCILLASILVA | ID_USUARIO = 6929 | DATA_LOGIN = 03/04/2017 10:12
03/04/2017 10:20 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/04/2017 10:20
03/04/2017 10:22 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/04/2017 10:22
