01/08/2017 15:22 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 01/08/2017 15:22
01/08/2017 15:26 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/08/2017 15:26
01/08/2017 15:34 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/08/2017 15:34
01/08/2017 15:35 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/08/2017 15:35
01/08/2017 15:42 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 01/08/2017 15:42
01/08/2017 15:53 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2017 15:53
01/08/2017 16:11 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/08/2017 16:11
01/08/2017 16:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2017 16:12
01/08/2017 16:16 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2017 16:16
01/08/2017 16:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2017 16:18
01/08/2017 16:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2017 16:18
01/08/2017 16:23 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 01/08/2017 16:23
01/08/2017 16:26 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 01/08/2017 16:26
01/08/2017 16:28 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2017 16:28
01/08/2017 16:45 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/08/2017 16:45
01/08/2017 16:46 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/08/2017 16:46
01/08/2017 16:48 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2017 16:48
01/08/2017 18:46 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 01/08/2017 18:46
01/08/2017 22:27 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 01/08/2017 22:27
02/08/2017 07:01 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2017 7:01
02/08/2017 07:05 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2017 7:05
02/08/2017 07:08 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2017 7:08
02/08/2017 07:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2017 7:10
02/08/2017 07:13 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/08/2017 7:13
02/08/2017 07:14 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 02/08/2017 7:14
02/08/2017 07:20 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/08/2017 7:20
02/08/2017 07:24 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2017 7:24
02/08/2017 07:27 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2017 7:27
02/08/2017 07:29 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2017 7:29
02/08/2017 07:31 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2017 7:31
02/08/2017 07:32 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/08/2017 7:32
02/08/2017 07:35 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 02/08/2017 7:35
02/08/2017 07:39 - ERIKAOLIVEIRA | ID_USUARIO = 476 | DATA_LOGIN = 02/08/2017 7:39
02/08/2017 07:40 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 02/08/2017 7:40
02/08/2017 07:40 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2017 7:40
02/08/2017 07:40 - ERIKAOLIVEIRA | ID_USUARIO = 476 | DATA_LOGIN = 02/08/2017 7:40
02/08/2017 07:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2017 7:41
02/08/2017 07:55 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 02/08/2017 7:55
02/08/2017 08:05 - ERIKAOLIVEIRA | ID_USUARIO = 476 | DATA_LOGIN = 02/08/2017 8:05
02/08/2017 08:13 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/08/2017 8:13
