11/01/2016 08:28 - HEITOR | USUARIOS_ID = 11080 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 08:28 - HEITOR | USUARIOS_ID = 11080 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 08:28 - HEITOR | USUARIOS_ID = 11080 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 08:28 - HEITOR | USUARIOS_ID = 11080 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 10:26 - HEITOR | USUARIOS_ID = 10858 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 13 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 17 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/01/2016 14:26 - ITDESK | USUARIOS_ID = 11342 | MENU_ID = 18 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
