01/02/2016 00:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2016 0:32
01/02/2016 07:23 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2016 7:23
01/02/2016 07:24 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/02/2016 7:24
01/02/2016 07:26 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2016 7:26
01/02/2016 07:30 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2016 7:30
01/02/2016 07:33 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2016 7:33
01/02/2016 07:41 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/02/2016 7:41
01/02/2016 07:42 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/02/2016 7:42
01/02/2016 07:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2016 7:49
01/02/2016 07:56 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/02/2016 7:56
01/02/2016 08:23 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/02/2016 8:23
01/02/2016 08:25 - GMONTREZOR | ID_USUARIO = 11164 | DATA_LOGIN = 01/02/2016 8:25
01/02/2016 08:45 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2016 8:45
01/02/2016 08:51 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2016 8:51
01/02/2016 08:57 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/02/2016 8:57
01/02/2016 09:11 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2016 9:11
01/02/2016 09:13 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 01/02/2016 9:13
01/02/2016 09:15 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2016 9:15
01/02/2016 09:27 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2016 9:27
01/02/2016 09:27 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 01/02/2016 9:27
01/02/2016 09:33 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2016 9:33
01/02/2016 09:36 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/02/2016 9:36
01/02/2016 09:37 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 01/02/2016 9:37
01/02/2016 09:40 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2016 9:40
01/02/2016 09:40 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2016 9:40
01/02/2016 09:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2016 9:52
01/02/2016 09:57 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 01/02/2016 9:57
01/02/2016 10:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2016 10:19
01/02/2016 10:21 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2016 10:21
01/02/2016 10:27 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 01/02/2016 10:27
01/02/2016 10:32 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/02/2016 10:32
01/02/2016 10:52 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 01/02/2016 10:52
01/02/2016 11:23 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 01/02/2016 11:23
01/02/2016 11:39 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/02/2016 11:39
01/02/2016 11:45 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/02/2016 11:45
01/02/2016 11:45 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/02/2016 11:45
01/02/2016 11:50 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/02/2016 11:50
01/02/2016 11:59 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/02/2016 11:59
01/02/2016 12:33 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2016 12:33
01/02/2016 13:02 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/02/2016 13:02
01/02/2016 13:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/02/2016 13:09
01/02/2016 13:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/02/2016 13:09
01/02/2016 13:17 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/02/2016 13:17
01/02/2016 13:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2016 13:17
01/02/2016 13:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2016 13:18
01/02/2016 13:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2016 13:18
01/02/2016 13:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2016 13:18
01/02/2016 13:21 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2016 13:21
01/02/2016 13:30 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/02/2016 13:30
01/02/2016 13:30 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2016 13:30
01/02/2016 13:32 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 01/02/2016 13:32
01/02/2016 13:44 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/02/2016 13:44
01/02/2016 13:46 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 01/02/2016 13:46
01/02/2016 13:50 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 01/02/2016 13:50
01/02/2016 14:01 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2016 14:01
01/02/2016 14:09 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/02/2016 14:09
01/02/2016 14:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/02/2016 14:12
