12/11/2018 14:22 - RONALDOGOMES | USUARIOS_ID = 10942 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
12/11/2018 14:22 - RONALDOGOMES | USUARIOS_ID = 10942 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
12/11/2018 14:22 - RONALDOGOMES | USUARIOS_ID = 10942 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
12/11/2018 14:22 - RONALDOGOMES | USUARIOS_ID = 10942 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = f | ALTERAR = f | EXCLUIR = f
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 102 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 103 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 104 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 21 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 22 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 29 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 24 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 25 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 30 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
30/11/2018 10:16 - RONALDOGOMES | USUARIOS_ID = 313 | MENU_ID = 31 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
