01/11/2016 15:52 - ROBSONMANFRIM | USUARIO = 11234 | CI = 18043 | STATUS = 3 | DATA = 01/11/2016 15:52 | MOTIVO_CANCELAMENTO = 
01/11/2016 16:07 - AREIAS | USUARIO = 10997 | CI = 18061 | STATUS = 7 | DATA = 01/11/2016 16:07 | MOTIVO_CANCELAMENTO = 
01/11/2016 16:44 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 18063 | STATUS = 7 | DATA = 01/11/2016 16:44 | MOTIVO_CANCELAMENTO = 
01/11/2016 16:44 - MATHEUSDELANEZA | USUARIO = 6900 | CI = 18064 | STATUS = 7 | DATA = 01/11/2016 16:44 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:11 - JT | USUARIO = 10823 | CI = 18061 | STATUS = 3 | DATA = 01/11/2016 17:11 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:12 - SYLVIO | USUARIO = 10914 | CI = 18008 | STATUS = 3 | DATA = 01/11/2016 17:12 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:13 - SYLVIO | USUARIO = 10914 | CI = 18009 | STATUS = 3 | DATA = 01/11/2016 17:13 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:15 - SYLVIO | USUARIO = 10914 | CI = 17997 | STATUS = 3 | DATA = 01/11/2016 17:15 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:16 - SYLVIO | USUARIO = 10914 | CI = 17946 | STATUS = 7 | DATA = 01/11/2016 17:16 | MOTIVO_CANCELAMENTO = 
01/11/2016 17:16 - SYLVIO | USUARIO = 10914 | CI = 18056 | STATUS = 7 | DATA = 01/11/2016 17:16 | MOTIVO_CANCELAMENTO = 
01/11/2016 18:22 - DOUGLAS | USUARIO = 11530 | CI = 18009 | STATUS = 3 | DATA = 01/11/2016 18:22 | MOTIVO_CANCELAMENTO = MEDIANTE APROVAÇÃO SILVIO MALZONI
03/11/2016 07:20 - CHRISTIANO | USUARIO = 11570 | CI = 18057 | STATUS = 3 | DATA = 03/11/2016 7:20 | MOTIVO_CANCELAMENTO = 
03/11/2016 07:50 - ZEZE | USUARIO = 10931 | CI = 18033 | STATUS = 7 | DATA = 03/11/2016 7:50 | MOTIVO_CANCELAMENTO = Aprovado.
