01/06/2018 12:44 - JT | USUARIO = 10823 | CI = 24639 | STATUS = 7 | DATA = 01/06/2018 12:44 | MOTIVO_CANCELAMENTO = 
01/06/2018 12:44 - JT | USUARIO = 10823 | CI = 24639 | STATUS = 3 | DATA = 01/06/2018 12:44 | MOTIVO_CANCELAMENTO = 
02/06/2018 16:03 - JT | USUARIO = 10823 | CI = 24640 | STATUS = 7 | DATA = 02/06/2018 16:03 | MOTIVO_CANCELAMENTO = 
02/06/2018 16:03 - JT | USUARIO = 10823 | CI = 24640 | STATUS = 3 | DATA = 02/06/2018 16:03 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:37 - AREIAS | USUARIO = 10997 | CI = 24636 | STATUS = 7 | DATA = 04/06/2018 7:37 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:37 - AREIAS | USUARIO = 10997 | CI = 24637 | STATUS = 7 | DATA = 04/06/2018 7:37 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:37 - AREIAS | USUARIO = 10997 | CI = 24637 | STATUS = 3 | DATA = 04/06/2018 7:37 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:37 - AREIAS | USUARIO = 10997 | CI = 24638 | STATUS = 7 | DATA = 04/06/2018 7:37 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:43 - ACIR | USUARIO = 10839 | CI = 24622 | STATUS = 7 | DATA = 04/06/2018 7:43 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:43 - ACIR | USUARIO = 10839 | CI = 24638 | STATUS = 3 | DATA = 04/06/2018 7:43 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:43 - ACIR | USUARIO = 10839 | CI = 24636 | STATUS = 3 | DATA = 04/06/2018 7:43 | MOTIVO_CANCELAMENTO = 
04/06/2018 07:47 - CAMARA | USUARIO = 10841 | CI = 24622 | STATUS = 3 | DATA = 04/06/2018 7:47 | MOTIVO_CANCELAMENTO = 
04/06/2018 09:13 - JT | USUARIO = 10823 | CI = 24641 | STATUS = 7 | DATA = 04/06/2018 9:13 | MOTIVO_CANCELAMENTO = 
04/06/2018 11:23 - FERNANDO | USUARIO = 10842 | CI = 24648 | STATUS = 3 | DATA = 04/06/2018 11:23 | MOTIVO_CANCELAMENTO = 
04/06/2018 11:39 - CAMARA | USUARIO = 10841 | CI = 24641 | STATUS = 3 | DATA = 04/06/2018 11:39 | MOTIVO_CANCELAMENTO = 
