04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.01.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.01.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.01.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.02.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.03.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.02.03.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.02.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.10.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.10.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.10.011
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.10.012
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.007
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.008
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.009
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.011
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.012
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.013
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.014
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.016
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.020
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.021
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.024
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.025
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.01.50.030
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.01.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.01.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.009
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 2.02.03.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.018
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.020
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.025
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.030
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.01.040
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.02.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.02.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.02.020
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.03.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.03.008
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.04.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.04.008
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.04.014
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.04.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.05.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.05.010
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.01.05.015
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.003
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.01.007
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.02.02.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.03.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.03.01.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.03.01.004
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.03.01.005
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.03.01.006
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.04.01.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.04.02.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.04.02.002
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.04.03.001
04/01/2016 15:02 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 3.04.04.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.015
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.01.020
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.002
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.02.006
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.03.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.015
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.025
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.030
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.002
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.006
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.015
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.002
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.006
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.007
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.008
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.009
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.012
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.013
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.015
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.016
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.020
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.025
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.002
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.006
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.001
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.002
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.004
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.005
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.006
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.03.003
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.03.010
07/01/2016 09:41 - BIRA | COD_FUNCAO = 1999 | CD_CCUSTO = 3.01.04.008
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.01.001
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.01.005
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.01.010
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.01.015
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.001
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.004
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.005
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.010
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.015
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.05.030
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.001
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.002
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.003
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.004
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.005
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.07.006
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.004
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.007
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.008
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.012
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.013
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.020
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.01.10.025
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.02.01.001
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.02.01.006
07/01/2016 09:42 - BIRA | COD_FUNCAO = 2003 | CD_CCUSTO = 1.02.03.003
07/01/2016 09:43 - BIRA | COD_FUNCAO = 1762 | CD_CCUSTO = 1.01.05.030
07/01/2016 09:43 - BIRA | COD_FUNCAO = 1762 | CD_CCUSTO = 1.01.07.001
07/01/2016 09:43 - BIRA | COD_FUNCAO = 1762 | CD_CCUSTO = 1.01.07.002
07/01/2016 09:43 - BIRA | COD_FUNCAO = 1762 | CD_CCUSTO = 1.01.07.006
07/01/2016 09:43 - BIRA | COD_FUNCAO = 1762 | CD_CCUSTO = 1.02.01.006
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.005
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.010
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.015
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.020
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.01.025
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.002
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.003
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.004
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.005
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.02.006
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.03.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.04.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.04.002
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.004
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.005
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.010
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.015
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.025
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.05.030
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.07.001
07/01/2016 10:03 - BIRA | COD_FUNCAO = 1996 | CD_CCUSTO = 1.01.07.002
