03/09/2018 14:47 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/09/2018 14:47
03/09/2018 14:47 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/09/2018 14:47
03/09/2018 14:51 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/09/2018 14:51
03/09/2018 15:28 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/09/2018 15:28
03/09/2018 15:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 15:28
03/09/2018 15:29 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 15:29
03/09/2018 15:31 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/09/2018 15:31
03/09/2018 15:36 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 03/09/2018 15:36
03/09/2018 15:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/09/2018 15:37
03/09/2018 16:17 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/09/2018 16:17
03/09/2018 16:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/09/2018 16:17
03/09/2018 16:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/09/2018 16:17
03/09/2018 16:22 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/09/2018 16:22
03/09/2018 16:27 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/09/2018 16:27
03/09/2018 16:45 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/09/2018 16:45
03/09/2018 16:48 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/09/2018 16:48
03/09/2018 16:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/09/2018 16:51
03/09/2018 17:15 - GENAILDOTORRES | ID_USUARIO = 7046 | DATA_LOGIN = 03/09/2018 17:15
03/09/2018 17:40 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 03/09/2018 17:40
03/09/2018 20:00 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/09/2018 20:00
03/09/2018 20:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 20:08
