02/03/2016 13:50 - JG | USUARIO = 10849 | CI = 14886 | STATUS = 7 | DATA = 02/03/2016 13:50 | MOTIVO_CANCELAMENTO = ok
02/03/2016 13:50 - JG | USUARIO = 10849 | CI = 14886 | STATUS = 3 | DATA = 02/03/2016 13:50 | MOTIVO_CANCELAMENTO = ok
02/03/2016 13:50 - JG | USUARIO = 10849 | CI = 14924 | STATUS = 3 | DATA = 02/03/2016 13:50 | MOTIVO_CANCELAMENTO = ok
02/03/2016 13:51 - JG | USUARIO = 10849 | CI = 14999 | STATUS = 3 | DATA = 02/03/2016 13:51 | MOTIVO_CANCELAMENTO = ok
02/03/2016 14:54 - LUIDE | USUARIO = 10836 | CI = 15062 | STATUS = 3 | DATA = 02/03/2016 14:54 | MOTIVO_CANCELAMENTO = 
02/03/2016 14:57 - ZEZE | USUARIO = 10931 | CI = 15064 | STATUS = 7 | DATA = 02/03/2016 14:57 | MOTIVO_CANCELAMENTO = 
02/03/2016 15:45 - FERNANDO | USUARIO = 10842 | CI = 15064 | STATUS = 3 | DATA = 02/03/2016 15:45 | MOTIVO_CANCELAMENTO = 
02/03/2016 15:51 - AREIAS | USUARIO = 10997 | CI = 15057 | STATUS = 3 | DATA = 02/03/2016 15:51 | MOTIVO_CANCELAMENTO = 
02/03/2016 15:51 - AREIAS | USUARIO = 10997 | CI = 15063 | STATUS = 7 | DATA = 02/03/2016 15:51 | MOTIVO_CANCELAMENTO = 
02/03/2016 15:51 - AREIAS | USUARIO = 10997 | CI = 15063 | STATUS = 3 | DATA = 02/03/2016 15:51 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15070 | STATUS = 7 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15070 | STATUS = 3 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15068 | STATUS = 7 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15068 | STATUS = 3 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15067 | STATUS = 7 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:46 - ACIR | USUARIO = 10839 | CI = 15067 | STATUS = 3 | DATA = 02/03/2016 17:46 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:47 - ACIR | USUARIO = 10839 | CI = 15066 | STATUS = 7 | DATA = 02/03/2016 17:47 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:47 - ACIR | USUARIO = 10839 | CI = 15066 | STATUS = 3 | DATA = 02/03/2016 17:47 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:47 - ACIR | USUARIO = 10839 | CI = 15065 | STATUS = 7 | DATA = 02/03/2016 17:47 | MOTIVO_CANCELAMENTO = 
02/03/2016 17:47 - ACIR | USUARIO = 10839 | CI = 15065 | STATUS = 3 | DATA = 02/03/2016 17:47 | MOTIVO_CANCELAMENTO = 
