06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.025
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.05.030
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.001
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.002
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.003
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.004
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.005
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.006
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.07.015
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.001
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.002
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.003
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.004
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.005
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.006
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.007
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.008
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.009
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.012
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.013
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.015
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.016
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.020
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.025
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.030
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.01.10.035
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.001
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.002
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.003
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.005
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.006
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.01.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.001
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.002
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.003
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.004
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.005
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.006
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.02.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.03.003
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 1.02.03.010
06/06/2016 10:45 - ALEXANDRE | COD_FUNCAO = 1999 | CD_CCUSTO = 3.01.04.008
