11/09/2017 08:40 - RONALDOGOMES | USUARIOS_ID = 7007 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 08:40 - RONALDOGOMES | USUARIOS_ID = 7007 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 08:40 - RONALDOGOMES | USUARIOS_ID = 7007 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 08:40 - RONALDOGOMES | USUARIOS_ID = 7007 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 13:56 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 13:56 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 13:56 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 13:56 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/09/2017 13:56 - RONALDOGOMES | USUARIOS_ID = 11316 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
18/09/2017 11:02 - RONALDOGOMES | USUARIOS_ID = 726 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
18/09/2017 11:02 - RONALDOGOMES | USUARIOS_ID = 726 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
18/09/2017 11:02 - RONALDOGOMES | USUARIOS_ID = 726 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
18/09/2017 11:02 - RONALDOGOMES | USUARIOS_ID = 726 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
18/09/2017 14:12 - RONALDOGOMES | USUARIOS_ID = 10918 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
