05/04/2018 13:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24257 | STATUS = 3 | DATA = 05/04/2018 13:30 | MOTIVO_CANCELAMENTO = 
05/04/2018 13:30 - HEBERTLUCIO | USUARIO = 11635 | CI = 24265 | STATUS = 3 | DATA = 05/04/2018 13:30 | MOTIVO_CANCELAMENTO = 
05/04/2018 16:04 - DOUGLAS | USUARIO = 11530 | CI = 24271 | STATUS = 3 | DATA = 05/04/2018 16:04 | MOTIVO_CANCELAMENTO = 
06/04/2018 08:52 - JT | USUARIO = 10823 | CI = 24268 | STATUS = 7 | DATA = 06/04/2018 8:52 | MOTIVO_CANCELAMENTO = 
06/04/2018 08:52 - JT | USUARIO = 10823 | CI = 24268 | STATUS = 3 | DATA = 06/04/2018 8:52 | MOTIVO_CANCELAMENTO = 
06/04/2018 08:54 - MARCIO | USUARIO = 10850 | CI = 24274 | STATUS = 7 | DATA = 06/04/2018 8:54 | MOTIVO_CANCELAMENTO = 
06/04/2018 08:54 - MARCIO | USUARIO = 10850 | CI = 24274 | STATUS = 3 | DATA = 06/04/2018 8:54 | MOTIVO_CANCELAMENTO = 
06/04/2018 10:40 - MARTA | USUARIO = 10847 | CI = 24275 | STATUS = 3 | DATA = 06/04/2018 10:40 | MOTIVO_CANCELAMENTO = 
06/04/2018 14:53 - MARTA | USUARIO = 10847 | CI = 24276 | STATUS = 3 | DATA = 06/04/2018 14:53 | MOTIVO_CANCELAMENTO = 
06/04/2018 15:33 - CAMARA | USUARIO = 10841 | CI = 24277 | STATUS = 3 | DATA = 06/04/2018 15:33 | MOTIVO_CANCELAMENTO = Serviço em Garantia
07/04/2018 22:32 - REGI | USUARIO = 10864 | CI = 24280 | STATUS = 3 | DATA = 07/04/2018 22:32 | MOTIVO_CANCELAMENTO = Ok...autorizado
09/04/2018 09:42 - JOAOROGANTE | USUARIO = 6966 | CI = 24242 | STATUS = 3 | DATA = 09/04/2018 9:42 | MOTIVO_CANCELAMENTO = 
09/04/2018 10:14 - OSNY | USUARIO = 10826 | CI = 24258 | STATUS = 7 | DATA = 09/04/2018 10:14 | MOTIVO_CANCELAMENTO = 
09/04/2018 10:14 - OSNY | USUARIO = 10826 | CI = 24258 | STATUS = 3 | DATA = 09/04/2018 10:14 | MOTIVO_CANCELAMENTO = 
09/04/2018 10:14 - OSNY | USUARIO = 10826 | CI = 24259 | STATUS = 7 | DATA = 09/04/2018 10:14 | MOTIVO_CANCELAMENTO = 
09/04/2018 10:14 - OSNY | USUARIO = 10826 | CI = 24259 | STATUS = 3 | DATA = 09/04/2018 10:14 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:26 - MARTA | USUARIO = 10847 | CI = 24289 | STATUS = 3 | DATA = 09/04/2018 11:26 | MOTIVO_CANCELAMENTO = 
09/04/2018 11:37 - AREIAS | USUARIO = 10997 | CI = 24281 | STATUS = 7 | DATA = 09/04/2018 11:37 | MOTIVO_CANCELAMENTO = 
