03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18822 | STATUS = 3 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18821 | STATUS = 7 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18821 | STATUS = 3 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18820 | STATUS = 7 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18820 | STATUS = 3 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18819 | STATUS = 7 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18819 | STATUS = 3 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18818 | STATUS = 7 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:01 - ACIR | USUARIO = 10839 | CI = 18818 | STATUS = 3 | DATA = 03/01/2017 12:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18817 | STATUS = 7 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18817 | STATUS = 3 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18816 | STATUS = 7 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18816 | STATUS = 3 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18815 | STATUS = 7 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18815 | STATUS = 3 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18811 | STATUS = 3 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 12:02 - ACIR | USUARIO = 10839 | CI = 18787 | STATUS = 3 | DATA = 03/01/2017 12:02 | MOTIVO_CANCELAMENTO = 
03/01/2017 13:01 - DOUGLAS | USUARIO = 11530 | CI = 18827 | STATUS = 3 | DATA = 03/01/2017 13:01 | MOTIVO_CANCELAMENTO = 
03/01/2017 14:06 - ZEZE | USUARIO = 10931 | CI = 18829 | STATUS = 3 | DATA = 03/01/2017 14:06 | MOTIVO_CANCELAMENTO = 
