05/06/2017 08:26 - LUIDE | USUARIO = 10836 | CI = 20804 | STATUS = 7 | DATA = 05/06/2017 8:26 | MOTIVO_CANCELAMENTO = 
05/06/2017 08:26 - LUIDE | USUARIO = 10836 | CI = 20804 | STATUS = 3 | DATA = 05/06/2017 8:26 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:04 - WILSONVICTORIA | USUARIO = 6958 | CI = 20806 | STATUS = 7 | DATA = 05/06/2017 9:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:04 - WILSONVICTORIA | USUARIO = 6958 | CI = 20806 | STATUS = 3 | DATA = 05/06/2017 9:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:17 - ZEZE | USUARIO = 10931 | CI = 20805 | STATUS = 7 | DATA = 05/06/2017 9:17 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:17 - ZEZE | USUARIO = 10931 | CI = 20805 | STATUS = 3 | DATA = 05/06/2017 9:17 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:23 - HEBERTLUCIO | USUARIO = 11635 | CI = 20808 | STATUS = 3 | DATA = 05/06/2017 9:23 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:23 - HEBERTLUCIO | USUARIO = 11635 | CI = 20803 | STATUS = 3 | DATA = 05/06/2017 9:23 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:23 - HEBERTLUCIO | USUARIO = 11635 | CI = 20802 | STATUS = 3 | DATA = 05/06/2017 9:23 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:35 - RODRIGO_POIT | USUARIO = 11086 | CI = 20812 | STATUS = 5 | DATA = 05/06/2017 9:35 | MOTIVO_CANCELAMENTO = CI duplicada.
05/06/2017 09:47 - DOUGLAS | USUARIO = 11530 | CI = 20793 | STATUS = 3 | DATA = 05/06/2017 9:47 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:47 - DOUGLAS | USUARIO = 11530 | CI = 20796 | STATUS = 3 | DATA = 05/06/2017 9:47 | MOTIVO_CANCELAMENTO = 
05/06/2017 09:48 - DOUGLAS | USUARIO = 11530 | CI = 20797 | STATUS = 3 | DATA = 05/06/2017 9:48 | MOTIVO_CANCELAMENTO = Mediante aprovação Roberto Malzoni
05/06/2017 10:00 - ZEZE | USUARIO = 10931 | CI = 20810 | STATUS = 7 | DATA = 05/06/2017 10:00 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:00 - ZEZE | USUARIO = 10931 | CI = 20810 | STATUS = 3 | DATA = 05/06/2017 10:00 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20813 | STATUS = 7 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20814 | STATUS = 7 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20815 | STATUS = 7 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20815 | STATUS = 3 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20816 | STATUS = 7 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:04 - ZEZE | USUARIO = 10931 | CI = 20816 | STATUS = 3 | DATA = 05/06/2017 10:04 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:06 - DOUGLAS | USUARIO = 11530 | CI = 20813 | STATUS = 3 | DATA = 05/06/2017 10:06 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:06 - DOUGLAS | USUARIO = 11530 | CI = 20814 | STATUS = 3 | DATA = 05/06/2017 10:06 | MOTIVO_CANCELAMENTO = 
05/06/2017 10:23 - MARCELOGODOI | USUARIO = 11316 | CI = 20811 | STATUS = 7 | DATA = 05/06/2017 10:23 | MOTIVO_CANCELAMENTO = 
05/06/2017 11:52 - ANITA | USUARIO = 11002 | CI = 20819 | STATUS = 3 | DATA = 05/06/2017 11:52 | MOTIVO_CANCELAMENTO = 
05/06/2017 11:58 - CAMARA | USUARIO = 10841 | CI = 20818 | STATUS = 3 | DATA = 05/06/2017 11:58 | MOTIVO_CANCELAMENTO = 
05/06/2017 11:59 - FERNANDO | USUARIO = 10842 | CI = 20821 | STATUS = 3 | DATA = 05/06/2017 11:59 | MOTIVO_CANCELAMENTO = 
05/06/2017 13:06 - CHRISTIANO | USUARIO = 11570 | CI = 20793 | STATUS = 3 | DATA = 05/06/2017 13:06 | MOTIVO_CANCELAMENTO = 
05/06/2017 13:06 - CHRISTIANO | USUARIO = 11570 | CI = 20809 | STATUS = 3 | DATA = 05/06/2017 13:06 | MOTIVO_CANCELAMENTO = 
05/06/2017 13:06 - CHRISTIANO | USUARIO = 11570 | CI = 20813 | STATUS = 3 | DATA = 05/06/2017 13:06 | MOTIVO_CANCELAMENTO = 
05/06/2017 13:07 - CHRISTIANO | USUARIO = 11570 | CI = 20814 | STATUS = 3 | DATA = 05/06/2017 13:07 | MOTIVO_CANCELAMENTO = 
05/06/2017 15:47 - ZEZE | USUARIO = 10931 | CI = 20825 | STATUS = 3 | DATA = 05/06/2017 15:47 | MOTIVO_CANCELAMENTO = 
05/06/2017 16:31 - MARCELOGODOI | USUARIO = 11316 | CI = 20834 | STATUS = 7 | DATA = 05/06/2017 16:31 | MOTIVO_CANCELAMENTO = 
05/06/2017 16:58 - ZEZE | USUARIO = 10931 | CI = 20831 | STATUS = 7 | DATA = 05/06/2017 16:58 | MOTIVO_CANCELAMENTO = 
05/06/2017 16:58 - ZEZE | USUARIO = 10931 | CI = 20832 | STATUS = 7 | DATA = 05/06/2017 16:58 | MOTIVO_CANCELAMENTO = 
05/06/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 20833 | STATUS = 7 | DATA = 05/06/2017 16:59 | MOTIVO_CANCELAMENTO = 
05/06/2017 16:59 - ZEZE | USUARIO = 10931 | CI = 20833 | STATUS = 3 | DATA = 05/06/2017 16:59 | MOTIVO_CANCELAMENTO = 
05/06/2017 18:32 - JT | USUARIO = 10823 | CI = 20835 | STATUS = 7 | DATA = 05/06/2017 18:32 | MOTIVO_CANCELAMENTO = 
05/06/2017 18:32 - JT | USUARIO = 10823 | CI = 20835 | STATUS = 3 | DATA = 05/06/2017 18:32 | MOTIVO_CANCELAMENTO = 
05/06/2017 22:09 - DOUGLAS | USUARIO = 11530 | CI = 20830 | STATUS = 3 | DATA = 05/06/2017 22:09 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
05/06/2017 22:09 - DOUGLAS | USUARIO = 11530 | CI = 20831 | STATUS = 3 | DATA = 05/06/2017 22:09 | MOTIVO_CANCELAMENTO = 
05/06/2017 22:09 - DOUGLAS | USUARIO = 11530 | CI = 20832 | STATUS = 3 | DATA = 05/06/2017 22:09 | MOTIVO_CANCELAMENTO = 
05/06/2017 22:09 - DOUGLAS | USUARIO = 11530 | CI = 20834 | STATUS = 3 | DATA = 05/06/2017 22:09 | MOTIVO_CANCELAMENTO = mediante aprovação ACC
06/06/2017 08:18 - DORACI | USUARIO = 10886 | CI = 20840 | STATUS = 7 | DATA = 06/06/2017 8:18 | MOTIVO_CANCELAMENTO = 
06/06/2017 10:13 - DORACI | USUARIO = 10886 | CI = 20845 | STATUS = 7 | DATA = 06/06/2017 10:13 | MOTIVO_CANCELAMENTO = 
06/06/2017 11:04 - OSNY | USUARIO = 10826 | CI = 20681 | STATUS = 7 | DATA = 06/06/2017 11:04 | MOTIVO_CANCELAMENTO = 
06/06/2017 11:04 - OSNY | USUARIO = 10826 | CI = 20681 | STATUS = 3 | DATA = 06/06/2017 11:04 | MOTIVO_CANCELAMENTO = 
06/06/2017 13:01 - ZEZE | USUARIO = 10931 | CI = 20837 | STATUS = 3 | DATA = 06/06/2017 13:01 | MOTIVO_CANCELAMENTO = 
06/06/2017 13:05 - MARCELOGODOI | USUARIO = 11316 | CI = 20844 | STATUS = 7 | DATA = 06/06/2017 13:05 | MOTIVO_CANCELAMENTO = 
06/06/2017 13:36 - DORACI | USUARIO = 10886 | CI = 20849 | STATUS = 7 | DATA = 06/06/2017 13:36 | MOTIVO_CANCELAMENTO = 
06/06/2017 13:55 - TADEUMACHADO | USUARIO = 11594 | CI = 20848 | STATUS = 7 | DATA = 06/06/2017 13:55 | MOTIVO_CANCELAMENTO = 
06/06/2017 13:55 - TADEUMACHADO | USUARIO = 11594 | CI = 20848 | STATUS = 3 | DATA = 06/06/2017 13:55 | MOTIVO_CANCELAMENTO = 
06/06/2017 14:05 - TADEUMACHADO | USUARIO = 11594 | CI = 20847 | STATUS = 7 | DATA = 06/06/2017 14:05 | MOTIVO_CANCELAMENTO = Analisamos todas as possibilidades de postergação deste recolhimento, porém não há possibilidade de compensação para o INSS e também não existe programa de parcelamento liberado para este período. Neste sentido, faz-se necessário o recolhimento.
06/06/2017 14:10 - TADEUMACHADO | USUARIO = 11594 | CI = 20846 | STATUS = 7 | DATA = 06/06/2017 14:10 | MOTIVO_CANCELAMENTO = Analisamos todas as possibilidades de postergação deste recolhimento, porém não há possibilidade de compensação para o INSS (FUNRURAL) e também não existe programa de parcelamento liberado para este período. Neste sentido, faz-se necessário o recolhimento.
06/06/2017 14:18 - TADEUMACHADO | USUARIO = 11594 | CI = 20842 | STATUS = 7 | DATA = 06/06/2017 14:18 | MOTIVO_CANCELAMENTO = Analisamos todas as possibilidades de postergação deste recolhimento, porém este valor já é um parcelamento especial (com débito em conta).
