02/12/2016 13:37 - OSNY | USUARIO = 10826 | CI = 18438 | STATUS = 3 | DATA = 02/12/2016 13:37 | MOTIVO_CANCELAMENTO = 
02/12/2016 14:20 - JT | USUARIO = 10823 | CI = 18423 | STATUS = 7 | DATA = 02/12/2016 14:20 | MOTIVO_CANCELAMENTO = 
02/12/2016 14:20 - JT | USUARIO = 10823 | CI = 18423 | STATUS = 3 | DATA = 02/12/2016 14:20 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:12 - SYLVIO | USUARIO = 10914 | CI = 18434 | STATUS = 3 | DATA = 02/12/2016 15:12 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:12 - CHRISTIANO | USUARIO = 11570 | CI = 18434 | STATUS = 3 | DATA = 02/12/2016 15:12 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:12 - CHRISTIANO | USUARIO = 11570 | CI = 18437 | STATUS = 3 | DATA = 02/12/2016 15:12 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:12 - CHRISTIANO | USUARIO = 11570 | CI = 18428 | STATUS = 3 | DATA = 02/12/2016 15:12 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:47 - DORACI | USUARIO = 10886 | CI = 18446 | STATUS = 7 | DATA = 02/12/2016 15:47 | MOTIVO_CANCELAMENTO = 
02/12/2016 15:47 - DORACI | USUARIO = 10886 | CI = 18446 | STATUS = 3 | DATA = 02/12/2016 15:47 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:47 - ACIR | USUARIO = 10839 | CI = 18443 | STATUS = 3 | DATA = 02/12/2016 16:47 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:47 - ACIR | USUARIO = 10839 | CI = 18442 | STATUS = 3 | DATA = 02/12/2016 16:47 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:47 - ACIR | USUARIO = 10839 | CI = 18439 | STATUS = 3 | DATA = 02/12/2016 16:47 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:48 - ACIR | USUARIO = 10839 | CI = 18427 | STATUS = 3 | DATA = 02/12/2016 16:48 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:48 - ACIR | USUARIO = 10839 | CI = 18357 | STATUS = 3 | DATA = 02/12/2016 16:48 | MOTIVO_CANCELAMENTO = 
02/12/2016 16:59 - AMADEUBOVI | USUARIO = 6888 | CI = 18453 | STATUS = 3 | DATA = 02/12/2016 16:59 | MOTIVO_CANCELAMENTO = 
02/12/2016 20:33 - AREIAS | USUARIO = 10997 | CI = 18441 | STATUS = 7 | DATA = 02/12/2016 20:33 | MOTIVO_CANCELAMENTO = 
05/12/2016 08:21 - MARCELOGODOI | USUARIO = 11316 | CI = 18454 | STATUS = 7 | DATA = 05/12/2016 8:21 | MOTIVO_CANCELAMENTO = Existe a possibilidade de rever (diminuindo) os valores atribuídos a título de Danos Morais e Materiais.
05/12/2016 08:22 - ZEZE | USUARIO = 10931 | CI = 18419 | STATUS = 7 | DATA = 05/12/2016 8:22 | MOTIVO_CANCELAMENTO = 
05/12/2016 08:22 - ZEZE | USUARIO = 10931 | CI = 18419 | STATUS = 3 | DATA = 05/12/2016 8:22 | MOTIVO_CANCELAMENTO = 
