05/01/2016 10:56 - ZEZE | USUARIO = 10931 | CI = 14411 | STATUS = 3 | DATA = 05/01/2016 10:56 | MOTIVO_CANCELAMENTO = 
05/01/2016 11:46 - AREIAS | USUARIO = 10997 | CI = 14399 | STATUS = 7 | DATA = 05/01/2016 11:46 | MOTIVO_CANCELAMENTO = 
05/01/2016 12:13 - CAMARA | USUARIO = 10841 | CI = 14410 | STATUS = 3 | DATA = 05/01/2016 12:13 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:22 - AREIAS | USUARIO = 10997 | CI = 14413 | STATUS = 7 | DATA = 05/01/2016 14:22 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:22 - AREIAS | USUARIO = 10997 | CI = 14413 | STATUS = 3 | DATA = 05/01/2016 14:22 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:52 - LUIDE | USUARIO = 10836 | CI = 14396 | STATUS = 7 | DATA = 05/01/2016 14:52 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:52 - LUIDE | USUARIO = 10836 | CI = 14396 | STATUS = 3 | DATA = 05/01/2016 14:52 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:52 - LUIDE | USUARIO = 10836 | CI = 14415 | STATUS = 7 | DATA = 05/01/2016 14:52 | MOTIVO_CANCELAMENTO = 
05/01/2016 14:52 - LUIDE | USUARIO = 10836 | CI = 14415 | STATUS = 3 | DATA = 05/01/2016 14:52 | MOTIVO_CANCELAMENTO = 
05/01/2016 15:24 - JT | USUARIO = 10823 | CI = 14412 | STATUS = 3 | DATA = 05/01/2016 15:24 | MOTIVO_CANCELAMENTO = 
05/01/2016 16:01 - ZEZE | USUARIO = 10931 | CI = 14417 | STATUS = 7 | DATA = 05/01/2016 16:01 | MOTIVO_CANCELAMENTO = 
05/01/2016 16:01 - ZEZE | USUARIO = 10931 | CI = 14419 | STATUS = 3 | DATA = 05/01/2016 16:01 | MOTIVO_CANCELAMENTO = 
05/01/2016 16:18 - MARTA | USUARIO = 10847 | CI = 14421 | STATUS = 3 | DATA = 05/01/2016 16:18 | MOTIVO_CANCELAMENTO = aprovado.
05/01/2016 16:27 - ZEZE | USUARIO = 10931 | CI = 14422 | STATUS = 7 | DATA = 05/01/2016 16:27 | MOTIVO_CANCELAMENTO = 
