01/10/2016 00:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2016 0:38
01/10/2016 07:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2016 7:22
01/10/2016 09:22 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/10/2016 9:22
01/10/2016 10:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2016 10:56
01/10/2016 11:55 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/10/2016 11:55
01/10/2016 13:52 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 01/10/2016 13:52
01/10/2016 14:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/10/2016 14:43
01/10/2016 16:07 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/10/2016 16:07
01/10/2016 16:39 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/10/2016 16:39
02/10/2016 07:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/10/2016 7:18
02/10/2016 23:10 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/10/2016 23:10
03/10/2016 05:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 5:06
03/10/2016 05:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 5:10
03/10/2016 07:06 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/10/2016 7:06
03/10/2016 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/10/2016 7:13
03/10/2016 07:14 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/10/2016 7:14
03/10/2016 07:15 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 03/10/2016 7:15
03/10/2016 07:16 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 03/10/2016 7:16
03/10/2016 07:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/10/2016 7:17
03/10/2016 07:22 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/10/2016 7:22
03/10/2016 07:27 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/10/2016 7:27
03/10/2016 07:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 7:39
03/10/2016 07:49 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/10/2016 7:49
03/10/2016 07:50 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/10/2016 7:50
03/10/2016 08:06 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/10/2016 8:06
03/10/2016 08:07 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/10/2016 8:07
03/10/2016 08:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:08
03/10/2016 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:13
03/10/2016 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:13
03/10/2016 08:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:25
03/10/2016 08:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:25
03/10/2016 08:30 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/10/2016 8:30
03/10/2016 08:32 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/10/2016 8:32
03/10/2016 08:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:39
03/10/2016 08:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 8:43
03/10/2016 08:43 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 03/10/2016 8:43
03/10/2016 11:01 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/10/2016 11:01
03/10/2016 11:02 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 03/10/2016 11:02
03/10/2016 11:07 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/10/2016 11:07
03/10/2016 11:08 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/10/2016 11:08
03/10/2016 11:09 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/10/2016 11:09
03/10/2016 11:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/10/2016 11:11
03/10/2016 11:16 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/10/2016 11:16
03/10/2016 11:23 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 03/10/2016 11:23
03/10/2016 11:26 - MATHEUSDELANEZA | ID_USUARIO = 6900 | DATA_LOGIN = 03/10/2016 11:26
03/10/2016 11:34 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/10/2016 11:34
03/10/2016 11:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 11:36
03/10/2016 12:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 12:05
03/10/2016 12:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/10/2016 12:06
03/10/2016 12:52 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/10/2016 12:52
03/10/2016 12:54 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/10/2016 12:54
03/10/2016 13:12 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/10/2016 13:12
03/10/2016 13:14 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 03/10/2016 13:14
03/10/2016 13:37 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 03/10/2016 13:37
03/10/2016 13:45 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/10/2016 13:45
03/10/2016 13:52 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/10/2016 13:52
03/10/2016 14:09 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/10/2016 14:09
03/10/2016 14:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/10/2016 14:11
03/10/2016 14:13 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/10/2016 14:13
03/10/2016 14:28 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/10/2016 14:28
03/10/2016 14:32 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/10/2016 14:32
03/10/2016 15:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 15:24
03/10/2016 15:24 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 03/10/2016 15:24
03/10/2016 15:30 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/10/2016 15:30
03/10/2016 15:30 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/10/2016 15:30
03/10/2016 15:36 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 03/10/2016 15:36
03/10/2016 15:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/10/2016 15:37
03/10/2016 15:39 - LUCIA | ID_USUARIO = 10915 | DATA_LOGIN = 03/10/2016 15:39
03/10/2016 15:49 - MATHEUSDELANEZA | ID_USUARIO = 6900 | DATA_LOGIN = 03/10/2016 15:49
03/10/2016 16:01 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 03/10/2016 16:01
03/10/2016 16:29 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 16:29
03/10/2016 17:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 17:09
03/10/2016 17:46 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/10/2016 17:46
03/10/2016 21:47 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/10/2016 21:47
03/10/2016 22:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/10/2016 22:51
04/10/2016 06:18 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/10/2016 6:18
04/10/2016 06:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 6:19
04/10/2016 07:09 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 04/10/2016 7:09
04/10/2016 07:10 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/10/2016 7:10
04/10/2016 07:52 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/10/2016 7:52
04/10/2016 07:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 7:52
04/10/2016 07:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 7:52
04/10/2016 07:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 7:52
04/10/2016 07:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 7:52
04/10/2016 07:58 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/10/2016 7:58
04/10/2016 08:00 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/10/2016 8:00
04/10/2016 08:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/10/2016 8:14
04/10/2016 08:14 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 04/10/2016 8:14
04/10/2016 08:19 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/10/2016 8:19
04/10/2016 08:20 - MATHEUSDELANEZA | ID_USUARIO = 6900 | DATA_LOGIN = 04/10/2016 8:20
04/10/2016 08:22 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/10/2016 8:22
04/10/2016 08:39 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/10/2016 8:39
04/10/2016 08:42 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 04/10/2016 8:42
04/10/2016 08:53 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 04/10/2016 8:53
04/10/2016 08:59 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/10/2016 8:59
04/10/2016 09:15 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/10/2016 9:15
04/10/2016 09:33 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/10/2016 9:33
04/10/2016 09:38 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/10/2016 9:38
04/10/2016 09:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 9:48
04/10/2016 09:53 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 9:53
04/10/2016 09:54 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/10/2016 9:54
04/10/2016 09:54 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/10/2016 9:54
04/10/2016 09:54 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/10/2016 9:54
04/10/2016 10:08 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/10/2016 10:08
04/10/2016 10:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 10:12
04/10/2016 10:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/10/2016 10:13
04/10/2016 10:14 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/10/2016 10:14
04/10/2016 10:25 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 04/10/2016 10:25
04/10/2016 10:53 - TIAGOCHIMINI | ID_USUARIO = 11296 | DATA_LOGIN = 04/10/2016 10:53
04/10/2016 10:57 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/10/2016 10:57
04/10/2016 11:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/10/2016 11:00
04/10/2016 11:01 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 04/10/2016 11:01
04/10/2016 11:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 11:02
04/10/2016 11:02 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/10/2016 11:02
04/10/2016 11:03 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 04/10/2016 11:03
04/10/2016 11:08 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 04/10/2016 11:08
04/10/2016 11:08 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 04/10/2016 11:08
04/10/2016 11:09 - MATHEUSDELANEZA | ID_USUARIO = 6900 | DATA_LOGIN = 04/10/2016 11:09
04/10/2016 11:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/10/2016 11:26
04/10/2016 11:33 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 04/10/2016 11:33
04/10/2016 11:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 11:38
04/10/2016 11:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 11:45
04/10/2016 12:04 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 04/10/2016 12:04
04/10/2016 12:43 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/10/2016 12:43
04/10/2016 12:55 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 12:55
04/10/2016 12:57 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 12:57
04/10/2016 12:58 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 12:58
04/10/2016 13:06 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 13:06
04/10/2016 13:08 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 13:08
04/10/2016 13:11 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 04/10/2016 13:11
04/10/2016 13:13 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/10/2016 13:13
04/10/2016 13:18 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 04/10/2016 13:18
04/10/2016 13:24 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/10/2016 13:24
04/10/2016 13:25 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 04/10/2016 13:25
04/10/2016 13:28 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/10/2016 13:28
04/10/2016 13:31 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/10/2016 13:31
04/10/2016 13:34 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/10/2016 13:34
04/10/2016 13:36 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 04/10/2016 13:36
04/10/2016 13:41 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/10/2016 13:41
04/10/2016 13:47 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/10/2016 13:47
04/10/2016 13:51 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 04/10/2016 13:51
04/10/2016 14:03 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 04/10/2016 14:03
04/10/2016 14:06 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 04/10/2016 14:06
04/10/2016 14:13 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/10/2016 14:13
04/10/2016 14:36 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 04/10/2016 14:36
04/10/2016 14:37 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/10/2016 14:37
04/10/2016 14:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/10/2016 14:41
04/10/2016 14:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/10/2016 14:51
04/10/2016 14:52 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 04/10/2016 14:52
04/10/2016 14:54 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/10/2016 14:54
