02/03/2015 09:30 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2015 9:30
02/03/2015 09:30 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/03/2015 9:30
02/03/2015 09:33 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2015 9:33
02/03/2015 09:39 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 02/03/2015 9:39
02/03/2015 09:50 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 02/03/2015 9:50
02/03/2015 09:51 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 02/03/2015 9:51
02/03/2015 09:54 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 9:54
02/03/2015 09:54 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2015 9:54
02/03/2015 09:56 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 02/03/2015 9:56
02/03/2015 10:03 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/03/2015 10:03
02/03/2015 10:04 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2015 10:04
02/03/2015 10:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2015 10:04
02/03/2015 10:08 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/03/2015 10:08
02/03/2015 10:21 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2015 10:21
02/03/2015 10:23 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/03/2015 10:23
02/03/2015 10:26 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 02/03/2015 10:26
02/03/2015 10:31 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 02/03/2015 10:31
02/03/2015 10:41 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 02/03/2015 10:41
02/03/2015 10:43 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 10:43
02/03/2015 10:46 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 02/03/2015 10:46
02/03/2015 10:47 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 02/03/2015 10:47
02/03/2015 10:47 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 02/03/2015 10:47
02/03/2015 11:27 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/03/2015 11:27
02/03/2015 11:40 - LETICIA | ID_USUARIO = 11055 | DATA_LOGIN = 02/03/2015 11:40
02/03/2015 11:52 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 02/03/2015 11:52
02/03/2015 11:57 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/03/2015 11:57
02/03/2015 13:02 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/03/2015 13:02
02/03/2015 13:20 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2015 13:20
02/03/2015 13:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2015 13:23
02/03/2015 13:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2015 13:24
02/03/2015 13:24 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2015 13:24
02/03/2015 13:36 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2015 13:36
02/03/2015 13:57 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 02/03/2015 13:57
02/03/2015 14:00 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 14:00
02/03/2015 14:00 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 02/03/2015 14:00
02/03/2015 14:01 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 02/03/2015 14:01
02/03/2015 14:02 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 02/03/2015 14:02
02/03/2015 14:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2015 14:07
02/03/2015 14:11 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 02/03/2015 14:11
02/03/2015 14:14 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/03/2015 14:14
02/03/2015 14:27 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/03/2015 14:27
02/03/2015 14:35 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/03/2015 14:35
02/03/2015 14:37 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 14:37
02/03/2015 14:37 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 02/03/2015 14:37
02/03/2015 14:37 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2015 14:37
02/03/2015 14:38 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/03/2015 14:38
02/03/2015 14:47 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 02/03/2015 14:47
02/03/2015 14:47 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/03/2015 14:47
02/03/2015 15:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2015 15:03
02/03/2015 15:06 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2015 15:06
02/03/2015 15:12 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2015 15:12
02/03/2015 15:29 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 15:29
02/03/2015 15:31 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 15:31
02/03/2015 15:33 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2015 15:33
02/03/2015 15:38 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2015 15:38
02/03/2015 15:39 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 15:39
02/03/2015 15:48 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2015 15:48
02/03/2015 15:48 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2015 15:48
02/03/2015 15:50 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 02/03/2015 15:50
02/03/2015 15:52 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2015 15:52
02/03/2015 15:55 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 02/03/2015 15:55
02/03/2015 16:00 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/03/2015 16:00
02/03/2015 16:03 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 02/03/2015 16:03
02/03/2015 16:04 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 02/03/2015 16:04
02/03/2015 16:10 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 02/03/2015 16:10
02/03/2015 16:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2015 16:11
02/03/2015 16:28 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/03/2015 16:28
02/03/2015 16:31 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 16:31
02/03/2015 16:38 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2015 16:38
02/03/2015 16:39 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/03/2015 16:39
02/03/2015 16:41 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2015 16:41
02/03/2015 16:41 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2015 16:41
02/03/2015 16:50 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2015 16:50
02/03/2015 16:59 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 16:59
02/03/2015 17:02 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:02
02/03/2015 17:06 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:06
02/03/2015 17:10 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:10
02/03/2015 17:20 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:20
02/03/2015 17:25 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 02/03/2015 17:25
02/03/2015 17:27 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 02/03/2015 17:27
02/03/2015 17:28 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 02/03/2015 17:28
02/03/2015 17:28 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:28
02/03/2015 17:29 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:29
02/03/2015 17:32 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:32
02/03/2015 17:32 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:32
02/03/2015 17:34 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/03/2015 17:34
02/03/2015 17:38 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:38
02/03/2015 17:42 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 02/03/2015 17:42
02/03/2015 17:45 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 02/03/2015 17:45
02/03/2015 18:54 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/03/2015 18:54
03/03/2015 06:40 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/03/2015 6:40
03/03/2015 06:56 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 03/03/2015 6:56
03/03/2015 07:08 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2015 7:08
03/03/2015 07:10 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2015 7:10
03/03/2015 07:10 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2015 7:10
03/03/2015 07:14 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/03/2015 7:14
03/03/2015 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2015 7:15
03/03/2015 07:16 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 03/03/2015 7:16
03/03/2015 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/03/2015 7:19
03/03/2015 07:20 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/03/2015 7:20
03/03/2015 07:22 - SUELEN | ID_USUARIO = 10918 | DATA_LOGIN = 03/03/2015 7:22
03/03/2015 07:27 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/03/2015 7:27
03/03/2015 07:31 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2015 7:31
03/03/2015 07:37 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/03/2015 7:37
03/03/2015 07:40 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 03/03/2015 7:40
03/03/2015 07:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2015 7:43
03/03/2015 07:45 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/03/2015 7:45
03/03/2015 08:06 - CARACIOLO | ID_USUARIO = 10840 | DATA_LOGIN = 03/03/2015 8:06
03/03/2015 08:10 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 03/03/2015 8:10
03/03/2015 08:34 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/03/2015 8:34
03/03/2015 08:54 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 03/03/2015 8:54
03/03/2015 08:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/03/2015 8:57
03/03/2015 08:57 - VELOSA | ID_USUARIO = 10889 | DATA_LOGIN = 03/03/2015 8:57
03/03/2015 09:00 - HEITOR | ID_USUARIO = 10996 | DATA_LOGIN = 03/03/2015 9:00
03/03/2015 09:02 - TIAGOLIMA | ID_USUARIO = 11092 | DATA_LOGIN = 03/03/2015 9:02
03/03/2015 09:07 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2015 9:07
03/03/2015 09:07 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/03/2015 9:07
03/03/2015 09:09 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 03/03/2015 9:09
03/03/2015 09:09 - ROSEMEIRESGOTI | ID_USUARIO = 11307 | DATA_LOGIN = 03/03/2015 9:09
03/03/2015 09:13 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 03/03/2015 9:13
03/03/2015 09:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2015 9:21
03/03/2015 09:26 - ACYRNETO | ID_USUARIO = 11327 | DATA_LOGIN = 03/03/2015 9:26
