03/04/2019 08:55 - AREIAS | USUARIO = 10997 | CI = 27006 | STATUS = 3 | DATA = 03/04/2019 8:55 | MOTIVO_CANCELAMENTO = 
03/04/2019 08:55 - AREIAS | USUARIO = 10997 | CI = 27007 | STATUS = 7 | DATA = 03/04/2019 8:55 | MOTIVO_CANCELAMENTO = 
03/04/2019 08:55 - AREIAS | USUARIO = 10997 | CI = 27007 | STATUS = 3 | DATA = 03/04/2019 8:55 | MOTIVO_CANCELAMENTO = 
03/04/2019 08:55 - AREIAS | USUARIO = 10997 | CI = 27011 | STATUS = 7 | DATA = 03/04/2019 8:55 | MOTIVO_CANCELAMENTO = 
03/04/2019 10:19 - OTAVIOGIRO | USUARIO = 526 | CI = 27011 | STATUS = 5 | DATA = 03/04/2019 10:19 | MOTIVO_CANCELAMENTO = Alteração de valor
03/04/2019 11:49 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27010 | STATUS = 7 | DATA = 03/04/2019 11:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 11:49 - GUSTAVOGIRO | USUARIO = 6963 | CI = 27010 | STATUS = 3 | DATA = 03/04/2019 11:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 12:49 - ZEZE | USUARIO = 10931 | CI = 27009 | STATUS = 3 | DATA = 03/04/2019 12:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 12:49 - ZEZE | USUARIO = 10931 | CI = 27012 | STATUS = 7 | DATA = 03/04/2019 12:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 12:49 - ZEZE | USUARIO = 10931 | CI = 27012 | STATUS = 3 | DATA = 03/04/2019 12:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 12:49 - ZEZE | USUARIO = 10931 | CI = 27013 | STATUS = 3 | DATA = 03/04/2019 12:49 | MOTIVO_CANCELAMENTO = 
03/04/2019 12:54 - HEBERTLUCIO | USUARIO = 11635 | CI = 27014 | STATUS = 3 | DATA = 03/04/2019 12:54 | MOTIVO_CANCELAMENTO = 
03/04/2019 13:52 - CAMARA | USUARIO = 10841 | CI = 27015 | STATUS = 3 | DATA = 03/04/2019 13:52 | MOTIVO_CANCELAMENTO = 
03/04/2019 14:56 - MARTA | USUARIO = 10847 | CI = 27017 | STATUS = 3 | DATA = 03/04/2019 14:56 | MOTIVO_CANCELAMENTO = aprovado.
03/04/2019 15:41 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27016 | STATUS = 7 | DATA = 03/04/2019 15:41 | MOTIVO_CANCELAMENTO = 
03/04/2019 15:51 - LUIDE | USUARIO = 10836 | CI = 27016 | STATUS = 3 | DATA = 03/04/2019 15:51 | MOTIVO_CANCELAMENTO = 
03/04/2019 17:25 - CAMARA | USUARIO = 10841 | CI = 27018 | STATUS = 7 | DATA = 03/04/2019 17:25 | MOTIVO_CANCELAMENTO = 
03/04/2019 17:25 - CAMARA | USUARIO = 10841 | CI = 27018 | STATUS = 3 | DATA = 03/04/2019 17:25 | MOTIVO_CANCELAMENTO = 
04/04/2019 08:06 - CAMARA | USUARIO = 10841 | CI = 27019 | STATUS = 3 | DATA = 04/04/2019 8:06 | MOTIVO_CANCELAMENTO = 
04/04/2019 10:41 - CAMARA | USUARIO = 10841 | CI = 27020 | STATUS = 3 | DATA = 04/04/2019 10:41 | MOTIVO_CANCELAMENTO = 
04/04/2019 11:03 - JENS | USUARIO = 10895 | CI = 27021 | STATUS = 3 | DATA = 04/04/2019 11:03 | MOTIVO_CANCELAMENTO = 
04/04/2019 15:10 - CAMARA | USUARIO = 10841 | CI = 27022 | STATUS = 7 | DATA = 04/04/2019 15:10 | MOTIVO_CANCELAMENTO = 
04/04/2019 15:10 - CAMARA | USUARIO = 10841 | CI = 27024 | STATUS = 3 | DATA = 04/04/2019 15:10 | MOTIVO_CANCELAMENTO = 
04/04/2019 15:28 - THIAGO | USUARIO = 10892 | CI = 27023 | STATUS = 7 | DATA = 04/04/2019 15:28 | MOTIVO_CANCELAMENTO = 
04/04/2019 15:28 - THIAGO | USUARIO = 10892 | CI = 27023 | STATUS = 3 | DATA = 04/04/2019 15:28 | MOTIVO_CANCELAMENTO = 
04/04/2019 15:54 - MARCIO | USUARIO = 10850 | CI = 27022 | STATUS = 3 | DATA = 04/04/2019 15:54 | MOTIVO_CANCELAMENTO = 
05/04/2019 08:15 - REGI | USUARIO = 10864 | CI = 27029 | STATUS = 3 | DATA = 05/04/2019 8:15 | MOTIVO_CANCELAMENTO = ok..... eles irão ficar somente na sala de treinamento lá no antigo refeitório da oficina e depois vão para o controle de tráfego.
05/04/2019 08:48 - CAMARA | USUARIO = 10841 | CI = 27026 | STATUS = 7 | DATA = 05/04/2019 8:48 | MOTIVO_CANCELAMENTO = 
05/04/2019 08:48 - CAMARA | USUARIO = 10841 | CI = 27026 | STATUS = 3 | DATA = 05/04/2019 8:48 | MOTIVO_CANCELAMENTO = 
05/04/2019 08:48 - CAMARA | USUARIO = 10841 | CI = 27027 | STATUS = 3 | DATA = 05/04/2019 8:48 | MOTIVO_CANCELAMENTO = 
05/04/2019 08:49 - CAMARA | USUARIO = 10841 | CI = 27028 | STATUS = 3 | DATA = 05/04/2019 8:49 | MOTIVO_CANCELAMENTO = 
05/04/2019 09:28 - HEBERTLUCIO | USUARIO = 11635 | CI = 27030 | STATUS = 3 | DATA = 05/04/2019 9:28 | MOTIVO_CANCELAMENTO = 
05/04/2019 15:11 - MARTA | USUARIO = 10847 | CI = 27031 | STATUS = 3 | DATA = 05/04/2019 15:11 | MOTIVO_CANCELAMENTO = aprovado.
06/04/2019 08:53 - HEBERTLUCIO | USUARIO = 11635 | CI = 27033 | STATUS = 3 | DATA = 06/04/2019 8:53 | MOTIVO_CANCELAMENTO = 
06/04/2019 10:12 - CAMARA | USUARIO = 10841 | CI = 27034 | STATUS = 3 | DATA = 06/04/2019 10:12 | MOTIVO_CANCELAMENTO = 
06/04/2019 15:20 - CAMARA | USUARIO = 10841 | CI = 27035 | STATUS = 3 | DATA = 06/04/2019 15:20 | MOTIVO_CANCELAMENTO = 
08/04/2019 07:36 - ALEXANDRE | USUARIO = 10837 | CI = 27036 | STATUS = 7 | DATA = 08/04/2019 7:36 | MOTIVO_CANCELAMENTO = 
08/04/2019 07:36 - ALEXANDRE | USUARIO = 10837 | CI = 27036 | STATUS = 3 | DATA = 08/04/2019 7:36 | MOTIVO_CANCELAMENTO = 
08/04/2019 07:39 - ALEXANDRE | USUARIO = 10837 | CI = 27037 | STATUS = 7 | DATA = 08/04/2019 7:39 | MOTIVO_CANCELAMENTO = compra de 03 sensores urgentes para inicio de Safra com frete incluso.
08/04/2019 07:39 - ALEXANDRE | USUARIO = 10837 | CI = 27037 | STATUS = 3 | DATA = 08/04/2019 7:39 | MOTIVO_CANCELAMENTO = compra de 03 sensores urgentes para inicio de Safra com frete incluso.
08/04/2019 07:48 - CAMARA | USUARIO = 10841 | CI = 27039 | STATUS = 3 | DATA = 08/04/2019 7:48 | MOTIVO_CANCELAMENTO = 
08/04/2019 07:54 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27040 | STATUS = 7 | DATA = 08/04/2019 7:54 | MOTIVO_CANCELAMENTO = 
08/04/2019 07:57 - THIAGO | USUARIO = 10892 | CI = 27038 | STATUS = 3 | DATA = 08/04/2019 7:57 | MOTIVO_CANCELAMENTO = 
08/04/2019 08:01 - STEFANIAESTEVO | USUARIO = 11398 | CI = 27040 | STATUS = 5 | DATA = 08/04/2019 8:01 | MOTIVO_CANCELAMENTO = Não foi anexado o comprovante.
08/04/2019 08:04 - BRUNOCAMAROTTI | USUARIO = 11392 | CI = 27042 | STATUS = 7 | DATA = 08/04/2019 8:04 | MOTIVO_CANCELAMENTO = 
08/04/2019 08:05 - THIAGO | USUARIO = 10892 | CI = 27042 | STATUS = 3 | DATA = 08/04/2019 8:05 | MOTIVO_CANCELAMENTO = 
08/04/2019 08:51 - THIAGO | USUARIO = 10892 | CI = 27043 | STATUS = 7 | DATA = 08/04/2019 8:51 | MOTIVO_CANCELAMENTO = 
08/04/2019 08:51 - THIAGO | USUARIO = 10892 | CI = 27043 | STATUS = 3 | DATA = 08/04/2019 8:51 | MOTIVO_CANCELAMENTO = 
08/04/2019 09:02 - ANAGOBATO | USUARIO = 7049 | CI = 27045 | STATUS = 7 | DATA = 08/04/2019 9:02 | MOTIVO_CANCELAMENTO = 
08/04/2019 09:12 - AREIAS | USUARIO = 10997 | CI = 27041 | STATUS = 7 | DATA = 08/04/2019 9:12 | MOTIVO_CANCELAMENTO = 
08/04/2019 09:33 - JENS | USUARIO = 10895 | CI = 27047 | STATUS = 3 | DATA = 08/04/2019 9:33 | MOTIVO_CANCELAMENTO = 
08/04/2019 10:00 - DOUGLAS | USUARIO = 11530 | CI = 27041 | STATUS = 3 | DATA = 08/04/2019 10:00 | MOTIVO_CANCELAMENTO = 
