01/01/2019 15:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/01/2019 15:35
02/01/2019 07:24 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 02/01/2019 7:24
02/01/2019 07:25 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/01/2019 7:25
02/01/2019 07:32 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/01/2019 7:32
02/01/2019 08:14 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/01/2019 8:14
02/01/2019 08:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/01/2019 8:17
02/01/2019 08:23 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/01/2019 8:23
02/01/2019 08:25 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/01/2019 8:25
02/01/2019 08:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 8:28
02/01/2019 08:29 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 8:29
02/01/2019 08:29 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 02/01/2019 8:29
02/01/2019 08:37 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/01/2019 8:37
02/01/2019 09:04 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/01/2019 9:04
02/01/2019 09:09 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/01/2019 9:09
02/01/2019 09:13 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/01/2019 9:13
02/01/2019 09:17 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/01/2019 9:17
02/01/2019 09:40 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/01/2019 9:40
02/01/2019 09:50 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 02/01/2019 9:50
02/01/2019 09:55 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/01/2019 9:55
02/01/2019 10:03 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/01/2019 10:03
02/01/2019 10:27 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/01/2019 10:27
02/01/2019 11:01 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/01/2019 11:01
02/01/2019 11:18 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/01/2019 11:18
02/01/2019 11:19 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/01/2019 11:19
02/01/2019 11:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 11:27
02/01/2019 11:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 11:28
02/01/2019 12:17 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 02/01/2019 12:17
02/01/2019 13:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 13:18
02/01/2019 13:34 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/01/2019 13:34
02/01/2019 13:36 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/01/2019 13:36
02/01/2019 13:48 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 02/01/2019 13:48
02/01/2019 14:04 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/01/2019 14:04
02/01/2019 14:10 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/01/2019 14:10
02/01/2019 14:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/01/2019 14:24
02/01/2019 15:10 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/01/2019 15:10
02/01/2019 15:11 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/01/2019 15:11
02/01/2019 15:57 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/01/2019 15:57
02/01/2019 16:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/01/2019 16:24
02/01/2019 16:40 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 02/01/2019 16:40
02/01/2019 17:12 - NATACHAPASTRE | ID_USUARIO = 6915 | DATA_LOGIN = 02/01/2019 17:12
02/01/2019 19:28 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/01/2019 19:28
02/01/2019 21:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/01/2019 21:46
03/01/2019 02:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/01/2019 2:03
03/01/2019 07:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/01/2019 7:16
03/01/2019 07:21 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 03/01/2019 7:21
03/01/2019 07:37 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 03/01/2019 7:37
03/01/2019 07:37 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/01/2019 7:37
03/01/2019 08:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/01/2019 8:07
03/01/2019 08:15 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/01/2019 8:15
03/01/2019 08:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/01/2019 8:18
03/01/2019 08:23 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/01/2019 8:23
03/01/2019 08:30 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 03/01/2019 8:30
03/01/2019 08:36 - ANDERSON | ID_USUARIO = 313 | DATA_LOGIN = 03/01/2019 8:36
03/01/2019 08:43 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/01/2019 8:43
03/01/2019 08:51 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/01/2019 8:51
03/01/2019 08:53 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/01/2019 8:53
03/01/2019 08:57 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 03/01/2019 8:57
