11/01/2017 10:43 - DONIZETE | CD_CCUSTO = 10201003 | APROVADOR = 11570
11/01/2017 10:49 - DONIZETE | CD_CCUSTO = 10201003 | APROVADOR = 11143
11/01/2017 12:47 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 11570
11/01/2017 12:47 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 10845
11/01/2017 12:48 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 10839
11/01/2017 12:48 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 10914
11/01/2017 12:50 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 10842
11/01/2017 12:51 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 10844
11/01/2017 12:51 - TADEUMACHADO | CD_CCUSTO = 30101025 | APROVADOR = 11530
