12/05/2016 19:13 - TOM | ID =  | CI = 15890 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 109.40
12/05/2016 19:13 - TOM | ID =  | CI = 15890 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 85.56
12/05/2016 19:13 - TOM | ID =  | CI = 15890 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 654.00
12/05/2016 19:13 - TOM | ID =  | CI = 15890 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
12/05/2016 19:39 - TOM | ID =  | CI = 15891 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 87.00
12/05/2016 19:39 - TOM | ID =  | CI = 15891 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 53.60
12/05/2016 19:39 - TOM | ID =  | CI = 15891 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 13.00
12/05/2016 19:46 - TOM | ID =  | CI = 15892 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 55.82
12/05/2016 20:03 - TOM | ID =  | CI = 15893 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 53.60
12/05/2016 20:03 - TOM | ID =  | CI = 15893 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 274.00
12/05/2016 20:03 - TOM | ID =  | CI = 15893 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
12/05/2016 20:15 - TOM | ID =  | CI = 15894 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 209.28
12/05/2016 20:15 - TOM | ID =  | CI = 15894 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 11.00
13/05/2016 08:06 - PARDAL | ID =  | CI = 15898 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 48.30
13/05/2016 16:00 - NORIVAL | ID =  | CI = 15907 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
14/05/2016 09:46 - NORIVAL | ID =  | CI = 15910 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
16/05/2016 16:43 - LUCIMARA | ID =  | CI = 15927 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
16/05/2016 16:43 - LUCIMARA | ID =  | CI = 15927 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
17/05/2016 18:50 - LUISMORETTI | ID =  | CI = 15944 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 126.10
17/05/2016 18:50 - LUISMORETTI | ID =  | CI = 15944 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 1.59
17/05/2016 18:57 - LUISMORETTI | ID = 10488 | CI = 15944 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 126.10
17/05/2016 18:57 - LUISMORETTI | ID =  | CI = 15944 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 34.80
17/05/2016 18:57 - LUISMORETTI | ID = 10489 | CI = 15944 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 159.50
17/05/2016 18:57 - LUISMORETTI | ID = 10488 | CI = 15944 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 126.10
17/05/2016 18:57 - LUISMORETTI | ID = 10508 | CI = 15944 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 34.80
17/05/2016 18:57 - LUISMORETTI | ID = 10489 | CI = 15944 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 159.50
17/05/2016 19:03 - LUISMORETTI | ID =  | CI = 15945 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
17/05/2016 19:03 - LUISMORETTI | ID =  | CI = 15945 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 47.19
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 173.60
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
18/05/2016 10:19 - JENS | ID =  | CI = 15951 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
18/05/2016 12:08 - FRANCISCO | ID =  | CI = 15952 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.00
18/05/2016 12:08 - FRANCISCO | ID =  | CI = 15952 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.50
19/05/2016 08:44 - FRANCISCO | ID =  | CI = 15962 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 70.00
19/05/2016 08:44 - FRANCISCO | ID =  | CI = 15962 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.68
20/05/2016 14:26 - FRANCISCO | ID =  | CI = 15978 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 330.00
20/05/2016 14:26 - FRANCISCO | ID =  | CI = 15978 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.82
24/05/2016 08:24 - NORIVAL | ID =  | CI = 15997 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 174.00
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 68.05
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 26.00
25/05/2016 07:04 - KLEBER | ID =  | CI = 16010 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
25/05/2016 09:30 - FRANCISCO | ID =  | CI = 16019 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.00
25/05/2016 09:30 - FRANCISCO | ID =  | CI = 16019 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 50.08
26/05/2016 17:05 - NORIVAL | ID =  | CI = 16033 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 274.80
27/05/2016 07:22 - JENS | ID =  | CI = 16035 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 10.49
27/05/2016 07:22 - JENS | ID =  | CI = 16035 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 63.40
