01/06/2019 14:00 - NORIVAL | ID =  | CI = 27498 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 4.00
01/06/2019 14:00 - NORIVAL | ID =  | CI = 27498 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 37.00
01/06/2019 14:12 - NORIVAL | ID =  | CI = 27499 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 32.70
03/06/2019 09:23 - JENS | ID =  | CI = 27509 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 139.50
03/06/2019 09:23 - JENS | ID =  | CI = 27509 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.50
03/06/2019 09:23 - JENS | ID =  | CI = 27509 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 97.40
04/06/2019 08:12 - LUCIANOHENRIQUE | ID =  | CI = 27514 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 90.00
04/06/2019 08:21 - NORIVAL | ID =  | CI = 27516 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 50.01
04/06/2019 11:56 - LUZMARINA | ID =  | CI = 27518 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 65.40
04/06/2019 11:56 - LUZMARINA | ID =  | CI = 27518 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 16.50
04/06/2019 15:15 - CAMACETI | ID =  | CI = 27520 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.50
04/06/2019 15:15 - CAMACETI | ID =  | CI = 27520 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 150.00
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 49.95
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 7.20
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 142.85
05/06/2019 07:40 - OSVALDOFLORES | ID =  | CI = 27523 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
05/06/2019 09:32 - NORIVAL | ID =  | CI = 27525 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.81
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 128.50
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
05/06/2019 13:10 - ERIC | ID =  | CI = 27528 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
05/06/2019 14:27 - NORIVAL | ID =  | CI = 27529 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 48.30
05/06/2019 14:27 - NORIVAL | ID =  | CI = 27529 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 48.25
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
05/06/2019 15:15 - CINTIAFERREIRA | ID =  | CI = 27530 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 107.52
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
05/06/2019 16:51 - KLEBER | ID =  | CI = 27534 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
06/06/2019 15:20 - LUZMARINA | ID =  | CI = 27544 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 100.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 138.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
07/06/2019 10:09 - KLEBER | ID =  | CI = 27552 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
07/06/2019 10:25 - OTAVIOGIRO | ID =  | CI = 27553 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 135.00
07/06/2019 10:25 - OTAVIOGIRO | ID =  | CI = 27553 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 77.84
07/06/2019 10:25 - OTAVIOGIRO | ID =  | CI = 27553 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 300.00
07/06/2019 10:26 - NORIVAL | ID =  | CI = 27554 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.40
07/06/2019 10:26 - NORIVAL | ID =  | CI = 27554 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 13.00
07/06/2019 10:26 - NORIVAL | ID =  | CI = 27554 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 39.55
07/06/2019 10:29 - NORIVAL | ID =  | CI = 27555 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
08/06/2019 14:17 - NORIVAL | ID =  | CI = 27561 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.00
10/06/2019 07:17 - SANDRA | ID =  | CI = 27563 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 79.00
10/06/2019 14:21 - EMERSON_SANCHES | ID =  | CI = 27572 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 63.11
11/06/2019 09:44 - CAMACETI | ID =  | CI = 27582 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 100.00
11/06/2019 16:30 - FABRICIOTOMASETTO | ID =  | CI = 27586 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 43.00
11/06/2019 16:30 - FABRICIOTOMASETTO | ID =  | CI = 27586 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 45.00
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 178.50
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 39.80
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
12/06/2019 08:48 - CINTIAFERREIRA | ID =  | CI = 27589 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
12/06/2019 13:39 - LUZMARINA | ID =  | CI = 27594 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 85.00
