01/02/2018 13:07 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 13:07
01/02/2018 13:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2018 13:14
01/02/2018 13:16 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/02/2018 13:16
01/02/2018 13:21 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/02/2018 13:21
01/02/2018 13:23 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/02/2018 13:23
01/02/2018 13:28 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 01/02/2018 13:28
01/02/2018 13:34 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/02/2018 13:34
01/02/2018 13:38 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/02/2018 13:38
01/02/2018 13:39 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/02/2018 13:39
01/02/2018 13:46 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/02/2018 13:46
01/02/2018 13:51 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/02/2018 13:51
01/02/2018 13:53 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/02/2018 13:53
01/02/2018 13:55 - JOAOROGANTE | ID_USUARIO = 6966 | DATA_LOGIN = 01/02/2018 13:55
01/02/2018 13:56 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/02/2018 13:56
01/02/2018 13:57 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 01/02/2018 13:57
01/02/2018 13:57 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2018 13:57
01/02/2018 13:58 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/02/2018 13:58
01/02/2018 14:11 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/02/2018 14:11
01/02/2018 14:16 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/02/2018 14:16
01/02/2018 14:32 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 14:32
01/02/2018 14:41 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 14:41
