04/07/2016 08:48 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:48 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:48 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:49 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:49 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:49 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 08:56 - RONALDOGOMES | USUARIOS_ID = 11616 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:28 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:28 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:28 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:28 - RONALDOGOMES | USUARIOS_ID = 11324 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = f | ALTERAR = f | EXCLUIR = f
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
04/07/2016 09:30 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 10:24 - RONALDOGOMES | USUARIOS_ID = 11110 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 10:24 - RONALDOGOMES | USUARIOS_ID = 11110 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 10:24 - RONALDOGOMES | USUARIOS_ID = 11110 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 10:24 - RONALDOGOMES | USUARIOS_ID = 11110 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:24 - RONALDOGOMES | USUARIOS_ID = 10921 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:24 - RONALDOGOMES | USUARIOS_ID = 10921 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:24 - RONALDOGOMES | USUARIOS_ID = 10921 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:24 - RONALDOGOMES | USUARIOS_ID = 10921 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:25 - RONALDOGOMES | USUARIOS_ID = 10923 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:29 - RONALDOGOMES | USUARIOS_ID = 11226 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:29 - RONALDOGOMES | USUARIOS_ID = 11226 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:29 - RONALDOGOMES | USUARIOS_ID = 11226 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:29 - RONALDOGOMES | USUARIOS_ID = 11226 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 11311 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 11311 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 11311 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 11311 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 26 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:31 - RONALDOGOMES | USUARIOS_ID = 10889 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:32 - RONALDOGOMES | USUARIOS_ID = 11307 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:32 - RONALDOGOMES | USUARIOS_ID = 11307 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:32 - RONALDOGOMES | USUARIOS_ID = 11307 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:32 - RONALDOGOMES | USUARIOS_ID = 11307 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 14:33 - RONALDOGOMES | USUARIOS_ID = 10904 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
07/07/2016 15:12 - RONALDOGOMES | USUARIOS_ID = 11143 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/07/2016 10:35 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/07/2016 10:35 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/07/2016 10:35 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/07/2016 10:35 - RONALDOGOMES | USUARIOS_ID = 11212 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = f | ALTERAR = f | EXCLUIR = f
