01/03/2017 13:54 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/03/2017 13:54
01/03/2017 13:55 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2017 13:55
01/03/2017 14:06 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2017 14:06
01/03/2017 14:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2017 14:14
01/03/2017 14:19 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 14:19
01/03/2017 14:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 14:46
01/03/2017 14:55 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/03/2017 14:55
01/03/2017 14:56 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 01/03/2017 14:56
01/03/2017 14:57 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/03/2017 14:57
01/03/2017 15:05 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2017 15:05
01/03/2017 15:08 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2017 15:08
01/03/2017 15:14 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2017 15:14
01/03/2017 15:15 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 01/03/2017 15:15
01/03/2017 15:23 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 01/03/2017 15:23
01/03/2017 15:25 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2017 15:25
01/03/2017 15:26 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/03/2017 15:26
01/03/2017 16:05 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2017 16:05
01/03/2017 16:08 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 01/03/2017 16:08
01/03/2017 16:12 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2017 16:12
01/03/2017 16:12 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2017 16:12
01/03/2017 16:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2017 16:13
01/03/2017 16:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2017 16:16
01/03/2017 16:16 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/03/2017 16:16
01/03/2017 16:21 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 01/03/2017 16:21
01/03/2017 16:40 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/03/2017 16:40
01/03/2017 17:39 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/03/2017 17:39
01/03/2017 17:45 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/03/2017 17:45
01/03/2017 17:53 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/03/2017 17:53
01/03/2017 18:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 18:37
01/03/2017 21:59 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/03/2017 21:59
01/03/2017 22:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 22:58
01/03/2017 23:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 23:28
02/03/2017 04:05 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 4:05
02/03/2017 07:01 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/03/2017 7:01
02/03/2017 07:06 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/03/2017 7:06
02/03/2017 07:09 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/03/2017 7:09
02/03/2017 07:14 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/03/2017 7:14
02/03/2017 07:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2017 7:15
02/03/2017 07:15 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/03/2017 7:15
02/03/2017 07:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/03/2017 7:16
02/03/2017 07:26 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/03/2017 7:26
02/03/2017 07:30 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/03/2017 7:30
02/03/2017 07:36 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/03/2017 7:36
02/03/2017 07:41 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/03/2017 7:41
02/03/2017 07:42 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 02/03/2017 7:42
02/03/2017 07:45 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/03/2017 7:45
02/03/2017 07:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 7:46
02/03/2017 07:46 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/03/2017 7:46
02/03/2017 07:56 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/03/2017 7:56
02/03/2017 07:59 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/03/2017 7:59
02/03/2017 08:00 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/03/2017 8:00
02/03/2017 08:01 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 02/03/2017 8:01
02/03/2017 08:07 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 02/03/2017 8:07
02/03/2017 08:28 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/03/2017 8:28
02/03/2017 08:29 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 02/03/2017 8:29
02/03/2017 08:32 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 02/03/2017 8:32
02/03/2017 08:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 8:57
02/03/2017 09:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:00
02/03/2017 09:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/03/2017 9:02
