20/07/2016 09:31 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 20000.00
20/07/2016 09:31 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 09:31 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 10823 | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 09:31 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 09:33 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 10823 | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 09:33 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 09:33 - RONALDOGOMES | ID = 11635 | LOGIN = HEBERTLUCIO | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 11570 | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
20/07/2016 10:13 - RONALDOGOMES | ID = 10921 | LOGIN = MARCOS | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:14 - RONALDOGOMES | ID = 11307 | LOGIN = ROSEMEIRESGOTI | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:14 - RONALDOGOMES | ID = 10889 | LOGIN = VELOSA | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:14 - RONALDOGOMES | ID = 10904 | LOGIN = SANTANA | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:15 - RONALDOGOMES | ID = 11311 | LOGIN = RALNYPEREIRA | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:15 - RONALDOGOMES | ID = 10923 | LOGIN = DANILO | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
20/07/2016 10:16 - RONALDOGOMES | ID = 11226 | LOGIN = CRISTIANOALVES | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11234 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
28/07/2016 09:39 - RONALDOGOMES | ID = 11533 | LOGIN = MATHEUSRODRIGUES | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
28/07/2016 09:39 - RONALDOGOMES | ID = 11533 | LOGIN = MATHEUSRODRIGUES | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 11309 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
