01/07/2016 05:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/07/2016 5:46
01/07/2016 07:03 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/07/2016 7:03
01/07/2016 07:14 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/07/2016 7:14
01/07/2016 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/07/2016 7:14
01/07/2016 07:15 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/07/2016 7:15
01/07/2016 07:43 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/07/2016 7:43
01/07/2016 08:01 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/07/2016 8:01
01/07/2016 08:19 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/07/2016 8:19
01/07/2016 08:19 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/07/2016 8:19
01/07/2016 08:24 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/07/2016 8:24
01/07/2016 08:24 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/07/2016 8:24
01/07/2016 08:36 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/07/2016 8:36
01/07/2016 08:36 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/07/2016 8:36
01/07/2016 08:36 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/07/2016 8:36
01/07/2016 08:43 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/07/2016 8:43
01/07/2016 08:43 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/07/2016 8:43
01/07/2016 08:49 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/07/2016 8:49
01/07/2016 08:55 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/07/2016 8:55
01/07/2016 09:20 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/07/2016 9:20
01/07/2016 09:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/07/2016 9:22
01/07/2016 09:23 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/07/2016 9:23
01/07/2016 09:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/07/2016 9:23
01/07/2016 09:30 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/07/2016 9:30
01/07/2016 09:39 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/07/2016 9:39
01/07/2016 09:40 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/07/2016 9:40
01/07/2016 09:51 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/07/2016 9:51
01/07/2016 09:58 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/07/2016 9:58
01/07/2016 10:01 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 01/07/2016 10:01
01/07/2016 10:02 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/07/2016 10:02
01/07/2016 10:06 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 01/07/2016 10:06
01/07/2016 10:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/07/2016 10:21
01/07/2016 10:25 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/07/2016 10:25
01/07/2016 10:38 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/07/2016 10:38
01/07/2016 10:54 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/07/2016 10:54
01/07/2016 11:06 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/07/2016 11:06
01/07/2016 11:13 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 01/07/2016 11:13
01/07/2016 11:23 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/07/2016 11:23
01/07/2016 11:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/07/2016 11:35
01/07/2016 11:42 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/07/2016 11:42
