02/03/2018 14:42 - ACIR | USUARIO = 10839 | CI = 23944 | STATUS = 7 | DATA = 02/03/2018 14:42 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:42 - ACIR | USUARIO = 10839 | CI = 23944 | STATUS = 3 | DATA = 02/03/2018 14:42 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:42 - ACIR | USUARIO = 10839 | CI = 23934 | STATUS = 3 | DATA = 02/03/2018 14:42 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:42 - TADEUMACHADO | USUARIO = 11594 | CI = 23966 | STATUS = 7 | DATA = 02/03/2018 14:42 | MOTIVO_CANCELAMENTO = 
02/03/2018 14:42 - TADEUMACHADO | USUARIO = 11594 | CI = 23966 | STATUS = 3 | DATA = 02/03/2018 14:42 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23963 | STATUS = 7 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23964 | STATUS = 7 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23965 | STATUS = 7 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23965 | STATUS = 3 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23969 | STATUS = 7 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23970 | STATUS = 7 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 15:54 - ZEZE | USUARIO = 10931 | CI = 23970 | STATUS = 3 | DATA = 02/03/2018 15:54 | MOTIVO_CANCELAMENTO = 
02/03/2018 16:39 - ZEZE | USUARIO = 10931 | CI = 23971 | STATUS = 7 | DATA = 02/03/2018 16:39 | MOTIVO_CANCELAMENTO = 
02/03/2018 16:39 - ZEZE | USUARIO = 10931 | CI = 23971 | STATUS = 3 | DATA = 02/03/2018 16:39 | MOTIVO_CANCELAMENTO = 
02/03/2018 16:46 - HEBERTLUCIO | USUARIO = 11635 | CI = 23912 | STATUS = 3 | DATA = 02/03/2018 16:46 | MOTIVO_CANCELAMENTO = 
02/03/2018 16:46 - HEBERTLUCIO | USUARIO = 11635 | CI = 23952 | STATUS = 3 | DATA = 02/03/2018 16:46 | MOTIVO_CANCELAMENTO = 
