02/11/2018 09:57 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 02/11/2018 9:57
02/11/2018 10:07 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/11/2018 10:07
02/11/2018 11:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/11/2018 11:41
02/11/2018 16:54 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/11/2018 16:54
03/11/2018 03:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 3:27
03/11/2018 06:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 6:50
03/11/2018 09:36 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/11/2018 9:36
03/11/2018 12:24 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/11/2018 12:24
03/11/2018 17:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 17:17
03/11/2018 18:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 18:51
04/11/2018 03:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/11/2018 3:16
04/11/2018 07:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/11/2018 7:09
04/11/2018 15:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/11/2018 15:57
05/11/2018 07:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/11/2018 7:18
05/11/2018 07:25 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 7:25
05/11/2018 07:27 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/11/2018 7:27
05/11/2018 07:32 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/11/2018 7:32
05/11/2018 07:44 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/11/2018 7:44
05/11/2018 07:46 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 05/11/2018 7:46
05/11/2018 08:07 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 8:07
05/11/2018 08:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 8:08
05/11/2018 08:21 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/11/2018 8:21
05/11/2018 08:38 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/11/2018 8:38
05/11/2018 08:44 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/11/2018 8:44
05/11/2018 08:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/11/2018 8:57
05/11/2018 09:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 9:26
05/11/2018 09:29 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 05/11/2018 9:29
05/11/2018 09:32 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 05/11/2018 9:32
05/11/2018 09:45 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/11/2018 9:45
05/11/2018 10:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 10:16
05/11/2018 10:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 10:19
05/11/2018 10:25 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 05/11/2018 10:25
05/11/2018 10:27 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 05/11/2018 10:27
05/11/2018 10:29 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/11/2018 10:29
05/11/2018 10:32 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 05/11/2018 10:32
05/11/2018 10:33 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 10:33
05/11/2018 10:41 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 05/11/2018 10:41
05/11/2018 11:00 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/11/2018 11:00
05/11/2018 11:15 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/11/2018 11:15
05/11/2018 11:17 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/11/2018 11:17
05/11/2018 11:35 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 05/11/2018 11:35
05/11/2018 12:41 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/11/2018 12:41
05/11/2018 14:08 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 05/11/2018 14:08
05/11/2018 14:13 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/11/2018 14:13
05/11/2018 14:20 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/11/2018 14:20
05/11/2018 14:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 05/11/2018 14:24
05/11/2018 14:25 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 14:25
05/11/2018 14:40 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/11/2018 14:40
05/11/2018 14:41 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 14:41
05/11/2018 14:48 - DENISESANTOS | ID_USUARIO = 11300 | DATA_LOGIN = 05/11/2018 14:48
05/11/2018 15:14 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/11/2018 15:14
05/11/2018 15:24 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 05/11/2018 15:24
05/11/2018 15:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 05/11/2018 15:31
05/11/2018 16:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 16:01
05/11/2018 16:01 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 05/11/2018 16:01
05/11/2018 16:08 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 05/11/2018 16:08
05/11/2018 16:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 16:13
05/11/2018 16:19 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 05/11/2018 16:19
05/11/2018 16:26 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 05/11/2018 16:26
05/11/2018 16:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 05/11/2018 16:26
05/11/2018 16:53 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 05/11/2018 16:53
05/11/2018 17:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 17:43
05/11/2018 17:52 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 05/11/2018 17:52
05/11/2018 22:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/11/2018 22:18
06/11/2018 07:12 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/11/2018 7:12
06/11/2018 07:17 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/11/2018 7:17
06/11/2018 07:19 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 06/11/2018 7:19
06/11/2018 07:20 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 06/11/2018 7:20
06/11/2018 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/11/2018 7:21
06/11/2018 07:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 06/11/2018 7:22
06/11/2018 07:40 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 06/11/2018 7:40
06/11/2018 07:52 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 06/11/2018 7:52
06/11/2018 07:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 7:57
06/11/2018 08:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 8:02
06/11/2018 08:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 8:10
06/11/2018 08:12 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 06/11/2018 8:12
06/11/2018 08:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 8:43
06/11/2018 08:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 8:43
06/11/2018 08:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 8:45
06/11/2018 09:33 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 06/11/2018 9:33
06/11/2018 10:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/11/2018 10:03
06/11/2018 10:04 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/11/2018 10:04
06/11/2018 10:11 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 06/11/2018 10:11
06/11/2018 10:12 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/11/2018 10:12
06/11/2018 10:43 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/11/2018 10:43
06/11/2018 11:05 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 06/11/2018 11:05
06/11/2018 12:23 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 06/11/2018 12:23
06/11/2018 12:53 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 06/11/2018 12:53
06/11/2018 12:59 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 06/11/2018 12:59
06/11/2018 13:00 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 06/11/2018 13:00
06/11/2018 13:04 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 06/11/2018 13:04
06/11/2018 13:06 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/11/2018 13:06
06/11/2018 13:08 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/11/2018 13:08
06/11/2018 13:08 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 06/11/2018 13:08
06/11/2018 13:16 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 06/11/2018 13:16
06/11/2018 13:22 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 06/11/2018 13:22
06/11/2018 13:23 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 06/11/2018 13:23
06/11/2018 13:26 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 06/11/2018 13:26
