11/10/2018 10:37 - TOM | ID =  | CI = 25503 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 778.60
11/10/2018 10:37 - TOM | ID =  | CI = 25503 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 462.79
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
15/10/2018 16:04 - DENISESANTOS | ID =  | CI = 25522 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
16/10/2018 07:25 - SANDRA | ID =  | CI = 25526 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 79.80
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 8.00
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 483.79
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 12.00
17/10/2018 10:54 - KLEBER | ID =  | CI = 25542 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
19/10/2018 08:18 - NORIVAL | ID =  | CI = 25555 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 20.02
19/10/2018 08:18 - NORIVAL | ID =  | CI = 25555 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 74.20
19/10/2018 08:34 - MATHEUSRODRIGUES | ID =  | CI = 25556 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.60
19/10/2018 11:43 - LUZMARINA | ID =  | CI = 25560 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 12.00
19/10/2018 11:43 - LUZMARINA | ID =  | CI = 25560 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 129.70
19/10/2018 11:48 - LUZMARINA | ID =  | CI = 25561 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 54.00
22/10/2018 08:33 - ELTON | ID =  | CI = 25570 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 126.02
22/10/2018 08:33 - ELTON | ID =  | CI = 25570 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 251.07
22/10/2018 08:33 - ELTON | ID =  | CI = 25570 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 5.00
22/10/2018 08:33 - ELTON | ID =  | CI = 25570 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1200.00
22/10/2018 09:27 - ELTON | ID =  | CI = 25573 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.80
22/10/2018 09:27 - ELTON | ID =  | CI = 25573 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 192.10
23/10/2018 08:12 - OTAVIOGIRO | ID =  | CI = 25579 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 150.00
23/10/2018 08:12 - OTAVIOGIRO | ID =  | CI = 25579 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 109.69
23/10/2018 08:12 - OTAVIOGIRO | ID =  | CI = 25579 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 78.30
23/10/2018 08:24 - OTAVIOGIRO | ID =  | CI = 25581 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 91.00
23/10/2018 08:24 - OTAVIOGIRO | ID =  | CI = 25581 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 222.97
23/10/2018 08:31 - OTAVIOGIRO | ID =  | CI = 25582 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
23/10/2018 08:31 - OTAVIOGIRO | ID =  | CI = 25582 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 162.22
23/10/2018 08:31 - OTAVIOGIRO | ID =  | CI = 25582 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 168.00
23/10/2018 10:06 - OTAVIOGIRO | ID =  | CI = 25588 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 44.15
23/10/2018 10:06 - OTAVIOGIRO | ID =  | CI = 25588 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 80.65
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 131.00
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.66
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 593.30
23/10/2018 11:52 - SIDINEI | ID =  | CI = 25590 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 400.00
23/10/2018 12:16 - SIDINEI | ID =  | CI = 25591 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 131.00
23/10/2018 12:16 - SIDINEI | ID =  | CI = 25591 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.66
23/10/2018 12:16 - SIDINEI | ID =  | CI = 25591 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/10/2018 12:16 - SIDINEI | ID =  | CI = 25591 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 973.30
23/10/2018 12:16 - SIDINEI | ID =  | CI = 25591 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 400.00
23/10/2018 12:40 - ELTON | ID =  | CI = 25593 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 200.00
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 126.02
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 251.07
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 5.00
23/10/2018 14:16 - ELTON | ID =  | CI = 25595 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1200.00
26/10/2018 10:09 - SIDINEI | ID =  | CI = 25619 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 131.00
26/10/2018 10:09 - SIDINEI | ID =  | CI = 25619 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.66
26/10/2018 10:09 - SIDINEI | ID =  | CI = 25619 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 973.30
26/10/2018 10:09 - SIDINEI | ID =  | CI = 25619 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 500.00
29/10/2018 11:42 - JENS | ID =  | CI = 25628 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 16.80
