03/03/2019 11:10 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/03/2019 11:10
03/03/2019 11:29 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 03/03/2019 11:29
03/03/2019 14:11 - ANITA | ID_USUARIO = 11002 | DATA_LOGIN = 03/03/2019 14:11
03/03/2019 17:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/03/2019 17:33
03/03/2019 17:46 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/03/2019 17:46
03/03/2019 23:08 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 03/03/2019 23:08
03/03/2019 23:10 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 03/03/2019 23:10
04/03/2019 07:18 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 04/03/2019 7:18
04/03/2019 07:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/03/2019 7:18
04/03/2019 07:20 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/03/2019 7:20
04/03/2019 07:39 - MAYRACATANI | ID_USUARIO = 7036 | DATA_LOGIN = 04/03/2019 7:39
04/03/2019 07:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 7:40
04/03/2019 07:46 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/03/2019 7:46
04/03/2019 07:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/03/2019 7:54
04/03/2019 08:04 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/03/2019 8:04
04/03/2019 08:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 8:12
04/03/2019 08:13 - LUISMORETTI | ID_USUARIO = 11387 | DATA_LOGIN = 04/03/2019 8:13
04/03/2019 08:31 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 8:31
04/03/2019 08:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 8:32
04/03/2019 08:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 8:42
04/03/2019 08:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 8:56
04/03/2019 08:58 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 04/03/2019 8:58
04/03/2019 09:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 9:33
04/03/2019 09:33 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 9:33
04/03/2019 09:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 9:36
04/03/2019 09:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 9:59
04/03/2019 10:55 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 04/03/2019 10:55
04/03/2019 11:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/03/2019 11:27
04/03/2019 11:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/03/2019 11:27
04/03/2019 11:32 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 04/03/2019 11:32
04/03/2019 11:32 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 04/03/2019 11:32
04/03/2019 13:03 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/03/2019 13:03
04/03/2019 13:41 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/03/2019 13:41
04/03/2019 13:43 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 04/03/2019 13:43
04/03/2019 13:46 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/03/2019 13:46
04/03/2019 13:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 13:48
04/03/2019 15:01 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/03/2019 15:01
04/03/2019 15:28 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 04/03/2019 15:28
04/03/2019 15:28 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/03/2019 15:28
04/03/2019 15:30 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 04/03/2019 15:30
04/03/2019 16:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/03/2019 16:03
04/03/2019 16:19 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 04/03/2019 16:19
04/03/2019 21:54 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 04/03/2019 21:54
05/03/2019 06:44 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/03/2019 6:44
05/03/2019 07:39 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 05/03/2019 7:39
05/03/2019 08:01 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 05/03/2019 8:01
05/03/2019 08:27 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 05/03/2019 8:27
05/03/2019 08:39 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 05/03/2019 8:39
05/03/2019 09:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 05/03/2019 9:18
05/03/2019 09:53 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 05/03/2019 9:53
05/03/2019 11:53 - FELINHO | ID_USUARIO = 10901 | DATA_LOGIN = 05/03/2019 11:53
05/03/2019 12:20 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 05/03/2019 12:20
05/03/2019 13:52 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 05/03/2019 13:52
05/03/2019 14:58 - FELINHO | ID_USUARIO = 10901 | DATA_LOGIN = 05/03/2019 14:58
06/03/2019 00:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 0:43
06/03/2019 02:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 2:45
06/03/2019 03:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 06/03/2019 3:37
