07/12/2017 16:04 - MARTA | ID =  | CI = 22955 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
08/12/2017 07:51 - NORIVAL | ID =  | CI = 22963 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 22.20
08/12/2017 07:51 - NORIVAL | ID =  | CI = 22963 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.80
08/12/2017 07:52 - NORIVAL | ID = 20508 | CI = 22963 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 22.20
08/12/2017 07:52 - NORIVAL | ID = 20509 | CI = 22963 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.80
08/12/2017 07:52 - NORIVAL | ID = 20508 | CI = 22963 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 22.20
08/12/2017 07:52 - NORIVAL | ID = 20509 | CI = 22963 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.80
08/12/2017 13:55 - ROGERINHO | ID =  | CI = 22971 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 187.02
08/12/2017 13:55 - ROGERINHO | ID =  | CI = 22971 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 148.80
08/12/2017 14:04 - OTAVIOGIRO | ID =  | CI = 22973 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
08/12/2017 15:30 - MICHELAAUGUSTO | ID =  | CI = 22980 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 203.06
08/12/2017 15:30 - MICHELAAUGUSTO | ID =  | CI = 22980 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 99.80
08/12/2017 15:30 - MICHELAAUGUSTO | ID =  | CI = 22980 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 582.68
08/12/2017 15:30 - MICHELAAUGUSTO | ID =  | CI = 22980 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 20.00
